buyer_key,n_sources,rank,cumulative_source_share
NAME:crdc le lieu unique,1,455,0.8923076923076924
NAME:comcom estuaire et sillon,1,456,0.892603550295858
NAME:syndicat mixte chere don isac,1,457,0.8928994082840237
SIRET:18007003900557,1,458,0.8931952662721894
NAME:ecole nationale superieure maritime,1,459,0.893491124260355
NAME:sonadev gie,1,460,0.8937869822485207
NAME:srd,1,461,0.8940828402366864
NAME:ville de morlaix,1,462,0.894378698224852
NAME:lycee livet,1,463,0.8946745562130177
SIRET:20008976100015,1,464,0.8949704142011834
NAME:communaute de communes vie et boulogne,1,465,0.8952662721893491
NAME:espacil habitat,1,466,0.8955621301775148
NAME:cnfpt delegation des pays de la loire,1,467,0.8958579881656805
NAME:commune de challans,1,468,0.8961538461538462
NAME:gip esea nouvelle-aquitaine,1,469,0.8964497041420119
NAME:mindef ema dc sca pfaf co rennes,1,470,0.8967455621301775
NAME:commune de basse-goulaine,1,471,0.8970414201183432
NAME:ensa nantes,1,472,0.8973372781065089
NAME:comcom des vallees du haut-anjou,1,473,0.8976331360946745
NAME:grand lieu communaute,1,474,0.8979289940828402
NAME:ville de parthenay,1,475,0.8982248520710059
NAME:dir reg envir amenagement logt bretagn,1,476,0.8985207100591716
NAME:sem cenovia,1,477,0.8988165680473372
NAME:cc du pays de st fulgent les essarts,1,478,0.899112426035503
SIRET:13001309700071,1,479,0.8994082840236687
NAME:conservatoire du littoral,1,480,0.8997041420118344
NAME:etablissement public du marais poitevi,1,481,0.9
SIRET:85101450600014,1,482,0.9002958579881657
NAME:commune de beaupreau en mauges,1,483,0.9005917159763314
NAME:cte organ lille metropole capitale mon,1,484,0.900887573964497
NAME:ec travx pub normandie inst jean frere,1,485,0.9011834319526627
SIRET:13053500800010,1,486,0.9014792899408284
NAME:medde dgac scn ssim,1,487,0.901775147928994
SIRET:32782217700025,1,488,0.9020710059171597
NAME:commune du cellier,1,489,0.9023668639053254
SIRET:28870852200017,1,490,0.9026627218934912
SIRET:20008247700015,1,491,0.9029585798816568
NAME:cc pays de fontenay vendee,1,492,0.9032544378698225
NAME:sca pfaf so,1,493,0.9035502958579882
SIRET:78645126000024,1,494,0.9038461538461539
NAME:sdis 29,1,495,0.9041420118343195
NAME:cc loire layon aubance,1,496,0.9044378698224852
NAME:ville de chateau-gontier,1,497,0.9047337278106509
NAME:epf de la vendee,1,498,0.9050295857988165
NAME:baie de somme habitat,1,499,0.9053254437869822
NAME:b r g m,1,500,0.9056213017751479
NAME:mindef sga dcsid esid bordeaux,1,501,0.9059171597633137
NAME:spl ocean marais de monts tourisme,1,502,0.9062130177514793
NAME:ville de villemomble,1,503,0.906508875739645
NAME:cc anjou bleu communaute,1,504,0.9068047337278107
NAME:bretagne developpement innovation,1,505,0.9071005917159763
NAME:ville de saint hilaire de riez,1,506,0.907396449704142
SIRET:21850096500015,1,507,0.9076923076923077
SIRET:19851390500028,1,508,0.9079881656804734
SIRET:24440040400020,1,509,0.908284023668639
NAME:ville de larmor-plage,1,510,0.9085798816568047
NAME:communautedecommunesentrebeauceetperch,1,511,0.9088757396449704
NAME:commune de mouilleron le captif,1,512,0.909171597633136
NAME:commune de vallet,1,513,0.9094674556213018
NAME:ville de talmont - saint hilaire,1,514,0.9097633136094675
NAME:caisse allocations familiales morbihan,1,515,0.9100591715976332
NAME:mairie de brissac-quince,1,516,0.9103550295857988
NAME:ehpad residences les chenes du bellay,1,517,0.9106508875739645
NAME:cte reg peches maritimes elevages mari,1,518,0.9109467455621302
NAME:ccas de saintes,1,519,0.9112426035502958
NAME:urssaf des pays de la loire,1,520,0.9115384615384615
NAME:commune de saint mars du desert,1,521,0.9118343195266272
SIRET:26720048300019,1,522,0.9121301775147929
SIRET:24720068600100,1,523,0.9124260355029585
NAME:territoire d energie de mayenne,1,524,0.9127218934911243
