source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status,l2_candidate_notice_id,l2_s_text,l2_s_cpv,l2_s_time,l2_s_buyer,l2_composite_score,l2_top1_top2_margin,l2_buyer_match_mechanism,l2_confidence_tier
21-57207,True,True,25-30282,25-50360,0.3245664506005157,0.3361629075608042,0.017794568550153378,0.005744598318579042,POTENTIAL,POTENTIAL,SAME_SIREN_RECONCILIATION,CHANGED_CANDIDATE,25-50360,0.008591349679389229,0.0,0.9726237406920718,0.9,0.3361629075608042,0.005744598318579042,SAME_SIREN_RECONCILIATION,POTENTIAL
21-47350,False,True,,24-47243,,0.3263684721452819,,0.3263684721452819,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,24-47243,0.046929756470406925,0.0,0.939772229522558,0.75,0.3263684721452819,0.3263684721452819,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-53976,False,True,,25-30335,,0.4625874614374557,,0.10201471066733642,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-30335,0.015702614932371448,0.6,0.8083661848445028,0.75,0.4625874614374557,0.10201471066733642,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-54966,False,True,,25-53540,,0.37301931520656706,,0.37301931520656706,,MEDIUM,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-53540,0.08293360442599654,0.1,0.8959702146298729,0.9,0.37301931520656706,0.37301931520656706,SAME_SIREN_RECONCILIATION,MEDIUM
21-51989,False,True,,25-30335,,0.48362088060707226,,0.07447338413566318,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-30335,0.06406541571359232,0.6,0.8247919404292597,0.75,0.48362088060707226,0.07447338413566318,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-42297,False,True,,24-76881,,0.3820901324023445,,0.07124196289116308,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,24-76881,0.20645988645835994,0.1,0.8193166885676741,0.75,0.3820901324023445,0.07124196289116308,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-69523,True,True,21-156075,22-16811,0.3343881201314308,0.4203042223427078,0.019154717020323786,0.07091610221127698,POTENTIAL,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE,22-16811,0.48772234479494647,0.1,0.5784056066579062,0.75,0.4203042223427078,0.07091610221127698,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-67771,False,True,,25-111645,,0.3588837608394842,,0.015733750646065636,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-111645,0.03456182466246468,0.1,0.9671484888304862,0.75,0.3588837608394842,0.015733750646065636,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-71538,False,True,,25-66012,,0.3693498708138508,,0.02643937501099075,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-66012,0.18928822360055228,0.0,0.9123959702146298,0.75,0.3693498708138508,0.02643937501099075,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-71956,False,True,,21-156348,,0.3870000768374531,,0.06979449040296937,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,21-156348,0.09533968515099851,0.1,0.9945247481384144,0.75,0.3870000768374531,0.06979449040296937,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
