source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status
15-69493,False,False,,,,,,,,,,UNLINKED_BOTH
15-98483,False,False,,,,,,,,,,UNLINKED_BOTH
15-92216,False,True,,15-182957,,0.34394561598414153,,0.011057276370060987,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-96106,True,True,16-577,16-577,0.4028473950725894,0.4028473950725894,0.012962548810812768,0.012962548810812768,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-85320,True,True,15-194034,15-194034,0.6045737982748607,0.6045737982748607,0.17006051025863972,0.17006051025863972,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-95582,False,False,,,,,,,,,,UNLINKED_BOTH
15-98729,True,True,15-170834,15-170834,0.45831740474621757,0.4583174047462176,0.17383924660534383,0.17383924660534383,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-90148,False,False,,,,,,,,,,UNLINKED_BOTH
15-97256,True,True,15-190662,15-190662,0.34342730620086465,0.34342730620086465,0.012276724678157769,0.012276724678157769,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-89263,True,True,15-159973,15-159973,0.4074958621634916,0.4224958621634916,0.01726855768047758,0.01726855768047758,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-92906,False,False,,,,,,,,,,UNLINKED_BOTH
15-96786,False,False,,,,,,,,,,UNLINKED_BOTH
15-98106,False,False,,,,,,,,,,UNLINKED_BOTH
15-83632,True,True,15-92216,15-92216,0.7195002153457675,0.7345002153457676,0.39206397556272365,0.39206397556272377,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-86218,True,True,15-95253,15-95253,0.7677064263415867,0.7827064263415866,0.45513688228765825,0.45513688228765814,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-86193,False,False,,,,,,,,,,UNLINKED_BOTH
15-89902,True,True,15-192356,15-192356,0.37795077721519554,0.37795077721519554,0.03518258663568191,0.03518258663568191,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-81783,False,False,,,,,,,,,,UNLINKED_BOTH
15-84881,True,True,16-103833,16-103833,0.41605552717478395,0.41605552717478395,0.07195990478143255,0.07195990478143255,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-86342,True,True,16-63741,16-63741,0.667979052684615,0.667979052684615,0.36406341975211376,0.36406341975211376,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-92588,False,True,,16-61484,,0.419629127803922,,0.03949406924328913,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-95813,False,False,,,,,,,,,,UNLINKED_BOTH
15-82604,True,True,16-40204,16-40204,0.6168531924284264,0.6318531924284265,0.2048843811343954,0.2048843811343955,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-95253,False,False,,,,,,,,,,UNLINKED_BOTH
15-92626,False,False,,,,,,,,,,UNLINKED_BOTH
15-99817,False,False,,,,,,,,,,UNLINKED_BOTH
15-52383,False,False,,,,,,,,,,UNLINKED_BOTH
15-101366,False,False,,,,,,,,,,UNLINKED_BOTH
15-113716,True,True,16-67782,16-67782,0.34616634718038913,0.34616634718038913,0.17453034192414735,0.17453034192414735,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-102348,True,True,16-48016,16-48016,0.671214916344808,0.6862149163448079,0.19642950538622578,0.19642950538622567,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-102510,True,True,16-183156,16-183156,0.48557922779326523,0.48557922779326523,0.13544695628966408,0.13503301638387688,MEDIUM,MEDIUM,EXACT_SIRET_RECONCILIATION,SAME_LINK
15-104589,False,False,,,,,,,,,,UNLINKED_BOTH
15-107880,False,False,,,,,,,,,,UNLINKED_BOTH
15-112635,False,False,,,,,,,,,,UNLINKED_BOTH
15-104125,True,True,16-19242,16-19242,0.3592160716584332,0.35921607165843317,0.02586537319662069,0.025865373196620634,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-108645,False,False,,,,,,,,,,UNLINKED_BOTH
15-105553,False,False,,,,,,,,,,UNLINKED_BOTH
15-106707,False,False,,,,,,,,,,UNLINKED_BOTH
15-110860,False,False,,,,,,,,,,UNLINKED_BOTH
15-114971,False,False,,,,,,,,,,UNLINKED_BOTH
15-115709,True,True,16-73319,16-73319,0.4110415932128341,0.4110415932128341,0.07305067439247415,0.07305067439247415,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-107245,False,False,,,,,,,,,,UNLINKED_BOTH
15-112713,False,False,,,,,,,,,,UNLINKED_BOTH
