source_notice_id,m0_candidate_notice_id,m1_candidate_notice_id,profile_candidate_notice_id,m0_m1_status,m1_buyer_match_mechanism,profile_evidence_status,profile_conflict_flag
16-130215,20-155309,20-155309,20-155309,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-131495,20-137315,20-137315,20-137315,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-132618,17-74632,17-74632,17-74632,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-134501,,20-97584,20-97584,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-135042,21-60721,21-60721,21-60721,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-136057,,20-2441,20-2441,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-136139,21-35651,21-35651,21-35651,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-137769,17-50845,17-50845,17-50845,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-139147,21-91773,21-91773,21-91773,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-139386,,21-12893,21-12893,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-139674,20-150503,20-150503,20-150503,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,WEAK_SUPPORT,False
16-141250,16-177041,16-177041,16-177041,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NO_PROFILE_EVIDENCE,False
16-145577,17-51018,17-51018,17-51018,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,False
16-14558,20-13447,20-13447,20-13447,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,False
16-148980,21-86403,21-86403,21-86403,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-153372,17-53291,17-53291,17-53291,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NO_PROFILE_EVIDENCE,False
16-153632,17-54861,17-54861,17-54861,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-155479,19-55110,19-55110,19-55110,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-16005,16-106116,16-106116,16-106116,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-161115,,20-137315,20-137315,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-165866,,17-44864,17-44864,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-16627,,21-27874,21-27874,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
