variant,n,events,censoring_rate,median_survival_months,survival_at_12m,survival_at_24m,rmst_60m,cpv_division
broad__cpv,13,8,0.3846153846153846,17.181340341655716,1.0,0.3846153846153846,32.58869908015769,92.0
broad__cpv,682,285,0.5821114369501466,inf,0.5680513443444885,0.5557110148765864,35.862152906027816,
strict,3159,309,0.9021842355175689,inf,0.9636035707721514,0.9601458612940541,56.87949413103852,
strict__cpv,203,9,0.9556650246305418,inf,1.0,0.9948453608247423,58.38371481332312,30.0
strict__cpv,370,12,0.9675675675675676,inf,1.0,1.0,59.174850544894,32.0
strict__cpv,157,13,0.9171974522292994,inf,1.0,1.0,58.86996850662636,35.0
strict__cpv,13,0,1.0,inf,1.0,1.0,60.0,38.0
strict__cpv,19,1,0.9473684210526316,inf,0.9375000000000001,0.9375000000000001,56.86596583442839,42.0
strict__cpv,87,3,0.9655172413793104,inf,0.9764705882352942,0.9644153957879442,58.31920980783414,45.0
strict__cpv,466,37,0.9206008583690988,inf,0.9978354978354981,0.9978354978354981,58.88222137548897,48.0
strict__cpv,50,1,0.98,inf,1.0,1.0,59.43495400788436,50.0
strict__cpv,56,0,1.0,inf,1.0,1.0,60.0,71.0
strict__cpv,889,111,0.875140607424072,inf,0.9988571428571431,0.9976694411414981,58.25608397275169,72.0
strict__cpv,59,6,0.8983050847457628,inf,1.0,1.0,58.33634939861891,79.0
strict__cpv,19,1,0.9473684210526316,inf,1.0,0.9333333333333331,57.33158125273762,80.0
strict__cpv,13,2,0.8461538461538461,inf,1.0,0.8461538461538463,53.10674214090772,92.0
strict__cpv,682,100,0.8533724340175953,inf,0.8473488549086461,0.8473488549086461,51.37422158110863,
no_temporal_score_reference_pool,3159,618,0.8043684710351378,inf,0.9299448703287075,0.9207232980677027,53.767651796614764,
no_temporal_score_reference_pool__cpv,203,25,0.8768472906403941,inf,1.0,0.9741719675367406,55.63300736017807,30.0
no_temporal_score_reference_pool__cpv,370,41,0.8891891891891892,inf,1.0,1.0,57.32434559534184,32.0
no_temporal_score_reference_pool__cpv,157,21,0.8662420382165605,inf,1.0,1.0,58.216270259038474,35.0
no_temporal_score_reference_pool__cpv,13,0,1.0,inf,1.0,1.0,60.0,38.0
no_temporal_score_reference_pool__cpv,19,1,0.9473684210526316,inf,0.9375000000000001,0.9375000000000001,56.86596583442839,42.0
no_temporal_score_reference_pool__cpv,87,13,0.8505747126436781,inf,0.9530730897009978,0.8465223944875122,53.019532683110356,45.0
no_temporal_score_reference_pool__cpv,466,77,0.8347639484978541,inf,0.9978354978354981,0.9978354978354981,57.757416315402565,48.0
no_temporal_score_reference_pool__cpv,50,4,0.92,inf,1.0,1.0,57.947391742810865,50.0
no_temporal_score_reference_pool__cpv,56,4,0.9285714285714286,inf,1.0,1.0,58.215571377622226,71.0
no_temporal_score_reference_pool__cpv,889,197,0.7784026996625422,inf,0.9988571428571431,0.9964873549893332,56.943866358902426,72.0
no_temporal_score_reference_pool__cpv,59,12,0.7966101694915254,inf,1.0,1.0,57.02495616898725,79.0
no_temporal_score_reference_pool__cpv,19,1,0.9473684210526316,inf,1.0,0.9333333333333331,57.33158125273762,80.0
no_temporal_score_reference_pool__cpv,13,2,0.8461538461538461,inf,1.0,0.8461538461538463,53.10674214090772,92.0
