stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
schema_family,EFORMS,siret_or_siren_missing,award_link_unresolved,0.15118891593334582,10682
schema_family,LEGACY,siret_or_siren_missing,award_link_unresolved,0.6222664015904572,73941
schema_family,EFORMS,name_fallback,cpv_missing_or_generic,0.2292641827373151,10682
schema_family,LEGACY,name_fallback,cpv_missing_or_generic,0.24019150403700248,73941
schema_family,EFORMS,name_fallback,duration_missing,0.062441490357610936,10682
schema_family,LEGACY,name_fallback,duration_missing,0.7484886598774698,73941
schema_family,EFORMS,name_fallback,text_weak_or_missing,0.017880546714098482,10682
schema_family,LEGACY,name_fallback,text_weak_or_missing,0.08363424892819951,73941
schema_family,EFORMS,name_fallback,award_link_unresolved,0.15118891593334582,10682
schema_family,LEGACY,name_fallback,award_link_unresolved,0.6222664015904572,73941
schema_family,EFORMS,cpv_missing_or_generic,duration_missing,0.27401235723647255,10682
schema_family,LEGACY,cpv_missing_or_generic,duration_missing,0.24073247589294167,73941
schema_family,EFORMS,cpv_missing_or_generic,text_weak_or_missing,0.10307058603257817,10682
schema_family,LEGACY,cpv_missing_or_generic,text_weak_or_missing,0.02583140612109655,73941
schema_family,EFORMS,cpv_missing_or_generic,award_link_unresolved,0.7702677401235724,10682
schema_family,LEGACY,cpv_missing_or_generic,award_link_unresolved,0.21985096225368875,73941
schema_family,EFORMS,duration_missing,text_weak_or_missing,0.02621231979030144,10682
schema_family,LEGACY,duration_missing,text_weak_or_missing,0.09905194682246656,73941
schema_family,EFORMS,duration_missing,award_link_unresolved,0.2490170380078637,10682
schema_family,LEGACY,duration_missing,award_link_unresolved,0.7146508702884733,73941
schema_family,EFORMS,text_weak_or_missing,award_link_unresolved,0.08575173188541471,10682
schema_family,LEGACY,text_weak_or_missing,award_link_unresolved,0.07950933852666316,73941
dept_primary,1,siret_or_siren_missing,name_fallback,0.8695652173913043,23
dept_primary,10,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,11,siret_or_siren_missing,name_fallback,1.0,3
dept_primary,12,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,13,siret_or_siren_missing,name_fallback,0.5263157894736842,38
dept_primary,14,siret_or_siren_missing,name_fallback,0.7755102040816326,196
dept_primary,16,siret_or_siren_missing,name_fallback,0.8536585365853658,82
dept_primary,17,siret_or_siren_missing,name_fallback,0.7815884476534296,554
dept_primary,18,siret_or_siren_missing,name_fallback,0.5918367346938775,49
dept_primary,19,siret_or_siren_missing,name_fallback,0.75,28
dept_primary,2,siret_or_siren_missing,name_fallback,0.6666666666666666,3
dept_primary,20A,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,21,siret_or_siren_missing,name_fallback,0.4444444444444444,9
dept_primary,22,siret_or_siren_missing,name_fallback,0.7385892116182573,482
dept_primary,23,siret_or_siren_missing,name_fallback,0.0,2
dept_primary,24,siret_or_siren_missing,name_fallback,0.8,5
dept_primary,26,siret_or_siren_missing,name_fallback,0.3333333333333333,3
dept_primary,27,siret_or_siren_missing,name_fallback,0.75,20
dept_primary,28,siret_or_siren_missing,name_fallback,0.7914438502673797,187
dept_primary,29,siret_or_siren_missing,name_fallback,0.7430683918669131,541
dept_primary,3,siret_or_siren_missing,name_fallback,0.75,4
dept_primary,31,siret_or_siren_missing,name_fallback,0.8571428571428571,28
dept_primary,33,siret_or_siren_missing,name_fallback,0.7866666666666666,75
dept_primary,34,siret_or_siren_missing,name_fallback,0.6666666666666666,15
dept_primary,35,siret_or_siren_missing,name_fallback,0.7313499111900533,2252
dept_primary,36,siret_or_siren_missing,name_fallback,0.9,40
dept_primary,37,siret_or_siren_missing,name_fallback,0.7417943107221007,457
dept_primary,38,siret_or_siren_missing,name_fallback,0.45454545454545453,11
dept_primary,4,siret_or_siren_missing,name_fallback,1.0,2
dept_primary,40,siret_or_siren_missing,name_fallback,0.7142857142857143,7
dept_primary,41,siret_or_siren_missing,name_fallback,0.6705882352941176,85
dept_primary,42,siret_or_siren_missing,name_fallback,0.0,2
dept_primary,43,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,44,siret_or_siren_missing,name_fallback,0.7625517714013289,33561
dept_primary,45,siret_or_siren_missing,name_fallback,0.6,160
dept_primary,46,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,47,siret_or_siren_missing,name_fallback,0.5,2
dept_primary,49,siret_or_siren_missing,name_fallback,0.7444203976734749,14786
dept_primary,5,siret_or_siren_missing,name_fallback,0.6666666666666666,3
dept_primary,50,siret_or_siren_missing,name_fallback,0.6966292134831461,89
dept_primary,51,siret_or_siren_missing,name_fallback,0.6,5
dept_primary,52,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,53,siret_or_siren_missing,name_fallback,0.6992574257425742,4040
dept_primary,54,siret_or_siren_missing,name_fallback,0.5,6
dept_primary,56,siret_or_siren_missing,name_fallback,0.8306878306878307,567
dept_primary,57,siret_or_siren_missing,name_fallback,0.36538461538461536,52
dept_primary,59,siret_or_siren_missing,name_fallback,0.8387096774193549,31
dept_primary,6,siret_or_siren_missing,name_fallback,0.9,30
dept_primary,60,siret_or_siren_missing,name_fallback,0.5,12
dept_primary,61,siret_or_siren_missing,name_fallback,0.7151248164464024,681
dept_primary,62,siret_or_siren_missing,name_fallback,0.6666666666666666,6
dept_primary,63,siret_or_siren_missing,name_fallback,1.0,3
dept_primary,64,siret_or_siren_missing,name_fallback,0.7777777777777778,18
dept_primary,65,siret_or_siren_missing,name_fallback,0.7777777777777778,9
dept_primary,66,siret_or_siren_missing,name_fallback,1.0,2
dept_primary,67,siret_or_siren_missing,name_fallback,0.75,4
dept_primary,68,siret_or_siren_missing,name_fallback,0.6666666666666666,3
dept_primary,69,siret_or_siren_missing,name_fallback,0.8051948051948052,77
dept_primary,7,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,70,siret_or_siren_missing,name_fallback,1.0,5
dept_primary,71,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,72,siret_or_siren_missing,name_fallback,0.6221776654171389,11471
dept_primary,75,siret_or_siren_missing,name_fallback,0.764525993883792,654
dept_primary,76,siret_or_siren_missing,name_fallback,0.6356589147286822,129
dept_primary,77,siret_or_siren_missing,name_fallback,0.8421052631578947,95
dept_primary,78,siret_or_siren_missing,name_fallback,0.7,20
dept_primary,79,siret_or_siren_missing,name_fallback,0.735812133072407,511
dept_primary,8,siret_or_siren_missing,name_fallback,0.6,5
dept_primary,80,siret_or_siren_missing,name_fallback,0.8,5
dept_primary,83,siret_or_siren_missing,name_fallback,0.7777777777777778,9
dept_primary,85,siret_or_siren_missing,name_fallback,0.7099477308553886,12053
dept_primary,86,siret_or_siren_missing,name_fallback,0.7847222222222222,144
dept_primary,87,siret_or_siren_missing,name_fallback,0.7142857142857143,7
dept_primary,9,siret_or_siren_missing,name_fallback,1.0,1
