source_notice_id,candidate_notice_id,candidate_rank,n_candidates_for_source,top1_top2_margin,composite_score,s_text,s_cpv,s_time,s_buyer,gap_months,abs_gap_to_expected_end,gradient_boosting_score,logistic_score
15-182813,16-136139,1,11,0.0607209473948547,0.4253185615670189,0.3881450172799,0.0,0.9178712220762156,0.6,9.526938239159,0.4927726675427069,0.016812911138636595,0.7743867215731147
15-182957,16-123498,1,6,0.1810209128973723,0.478235217464642,0.6182041192313092,0.2,0.567455102934735,0.6,8.607095926412615,2.59526938239159,0.017507182232134842,0.46501019465129245
15-184251,17-6714,1,3,0.0968708915872497,0.294149074901573,0.0046834841377775,0.0,0.7700394218134035,1.0,13.370565045992116,1.3797634691195797,0.2090855050228401,0.839504659514256
15-184743,16-80474,1,1,0.392813865774224,0.392813865774224,0.1665403361023132,0.1,0.9780989925536576,0.6,6.14323258869908,0.1314060446780552,0.23974536542341404,0.8602440453645553
15-184750,16-68672,1,3,0.0087297114000992,0.3478383332169748,0.1319002749944978,0.1,0.8466929478756022,0.6,5.091984231274639,0.9198423127463864,0.048693953112840124,0.8018962994714315
15-185112,16-172610,1,1,0.3754312679096712,0.3754312679096712,0.0122577869191909,0.4,0.7645641699518178,0.6,11.695137976346912,1.4126149802890933,0.16079620210686427,0.9559458695562357
15-185335,16-40003,1,1,0.2719604855293248,0.2719604855293248,0.093812387789811,0.0,0.5565045992115638,1.0,3.350854139290407,2.6609724047306176,0.0023091016920545543,0.2595167740715257
15-187883,16-139674,1,2,0.1234980083117494,0.3277553310862783,0.0420379461485181,0.0,0.8521681997371879,1.0,9.362680683311432,0.8869908015768725,0.0016182196565961667,0.25798373617912473
15-189271,16-127032,1,6,0.0098678327675706,0.3162013160624589,0.1317847501039906,0.2,0.6003066141042488,0.6,8.409986859395532,2.3981603153745072,0.011127897659541038,0.344072303640983
15-190662,17-3197,1,4,0.0347054905487548,0.2172508077326994,0.0208229698438806,0.1,0.4798510731493649,0.6,12.64783180026281,3.1208935611038107,0.03643054252850754,0.8876958025786403
15-192276,16-94711,1,3,0.0945803920689609,0.4189213224246482,0.0367841550534658,1.0,0.1841874726237407,0.6,4.92772667542707,4.894875164257556,0.9349229833995556,0.9969165375593325
15-192356,16-128161,1,20,0.1571488848289535,0.5289962883877168,0.0696996763521152,1.0,0.5784056066579062,0.6,8.541392904073588,2.5295663600525624,0.9208445989145935,0.993768494958039
15-192825,16-146809,1,1,0.7552551451447373,0.7552551451447373,0.8373912725929985,1.0,0.4086727989487516,0.6,9.559789750328514,3.54796320630749,0.8231096859088713,0.9999733358187517
15-194034,16-25268,1,1,0.1512176449276444,0.1512176449276444,0.0508414784679459,0.0,0.2936925098554533,0.6,1.773981603153745,4.23784494086728,0.0014057842680557837,0.08786635482271081
15-31464,15-136371,1,2,0.0342699784674087,0.3582433682746015,0.3340336772053255,0.2,0.4853263250109505,0.6,6.208935611038108,3.088042049934297,0.057855097883894244,0.7068505505290446
15-32051,15-56571,1,2,0.0060844962400117,0.4516218380849968,0.8781774061048093,0.1,0.2170389837932544,0.6,1.3469119579500657,4.697766097240473,0.029122302272902623,0.43510491811510993
15-32168,16-20762,1,3,0.1293308078405003,0.3715487184222081,0.1436965448443792,0.0,0.8850197109067017,1.0,11.33377135348226,0.6898817345597897,0.019801528502718983,0.44097127786495455
