source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source
20-114714,21-77546,2020-09-20,2021-06-10,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,8.639947437582128,2021-08-06,1.8725361366622864,0.687910643889619,0.0231279485414818,1.0,0.6,0.5400724429619234,0.93130098779701,0.93130098779701,1,0.1979930767669672,10,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-118247,21-76512,2020-09-30,2021-06-09,NAME:commune de saint-herblain,NAME_FALLBACK,8.278580814717477,2021-07-08,0.9526938239159,0.8412176960140166,0.2093452826113215,1.0,0.6,0.6435752729174666,0.94025726326149,0.94025726326149,1,0.2170994389829086,6,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-118996,21-26465,2020-10-01,2021-02-27,NAME:chu de nantes,NAME_FALLBACK,4.894875164257556,2021-08-24,5.847568988173456,0.0254051686377573,0.6679117018605,1.0,0.6,0.6001203878106143,0.909375088551216,0.909375088551216,1,0.2297681433743225,10,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-12070,20-66643,2020-01-26,2020-05-22,NAME:nantes metropole,NAME_FALLBACK,3.843626806833114,2020-07-26,2.135348226018397,0.6441086289969338,0.0684522337071932,1.0,0.6,0.544985439046751,0.9410122551280887,0.9410122551280887,1,0.0601421209870454,21,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-121660,21-51989,2020-10-06,2021-04-19,NAME:departement de la mayenne,NAME_FALLBACK,6.40604467805519,2021-04-06,0.4270696452036793,0.9288217257993868,0.0132057350638359,1.0,0.6,0.5968274387221892,0.952325196364414,0.952325196364414,1,0.0056305794571096,5,POTENTIAL,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-122021,21-73723,2020-10-06,2021-06-01,NAME:rectorat de l academie de nantes,NAME_FALLBACK,7.818659658344283,2021-02-06,3.7779237844940874,0.3703460359176522,0.3699859648769119,1.0,0.6,0.5820815966863322,0.966399958041847,0.966399958041847,1,0.5820815966863322,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-124045,21-126684,2020-10-11,2021-09-24,SIRET:23440003400026,RAW_SIRET,11.4323258869908,2021-08-10,1.4783180026281209,0.7536136662286466,0.2547901680005385,1.0,1.0,0.67757997535735,0.9159498895239915,0.9159498895239915,1,0.201115174881837,4,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-124795,21-132073,2020-10-12,2021-10-01,NAME:sde35,NAME_FALLBACK,11.629434954007884,2021-04-12,5.650459921156373,0.0582566798072711,0.040446198307219,0.2,0.6,0.1487203393593444,0.6867597927698673,0.6867597927698673,1,0.1487203393593444,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-125567,21-67771,2020-10-15,2021-05-22,NAME:conseil regional des pays de la loire,NAME_FALLBACK,7.194480946123521,2021-09-21,4.007884362680684,0.3320192728865527,0.0740404582711345,1.0,0.6,0.4689189786165352,0.9323820853046909,0.9323820853046909,1,0.0970298265360164,9,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-130827,21-51441,2020-10-25,2021-04-18,SIRET:37977417700016,RAW_SIRET,5.7490144546649145,2021-08-10,3.7450722733245727,0.3758212877792378,0.0079467900677649,0.2,1.0,0.2567366984685272,0.6452330680213538,0.6452330680213538,1,0.2567366984685272,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
