variant,algorithm,scenario,world,n_pairs,n_truth,n_reachable,blocking_recall,n_pred,tp,precision,recall_conditional,recall_end_to_end,threshold,f1_conditional,f1_end_to_end
dur_w12,gradient_boosting,stress,010,82471,766,199,0.2597911227154047,152,51,0.3355263157894737,0.2562814070351759,0.06657963446475196,0.425661028996862,0.29059829059829057,0.1111111111111111
dur_w12,current_weighted_composite,central_provisional,007,25722,1469,822,0.5595643294758339,2297,556,0.24205485415759687,0.6763990267639902,0.37848876786929886,0.3431669423310381,0.35652452709201665,0.2952734997344663
dur_w12,current_weighted_composite,central_provisional,008,31079,1712,815,0.4760514018691589,2516,607,0.24125596184419715,0.7447852760736197,0.35455607476635514,0.3431669423310381,0.3644551185830081,0.28713339640491964
dur_w12,current_weighted_composite,central_provisional,009,15513,1552,844,0.5438144329896907,2088,613,0.2935823754789272,0.726303317535545,0.3949742268041237,0.3431669423310381,0.4181446111869031,0.3368131868131868
dur_w12,current_weighted_composite,central_provisional,010,28980,1755,984,0.5606837606837607,2618,676,0.2582123758594347,0.6869918699186992,0.3851851851851852,0.3431669423310381,0.3753470294280955,0.30916990624285384
dur_w12,current_weighted_composite,difficult,007,24481,668,294,0.44011976047904194,1720,165,0.09593023255813954,0.5612244897959183,0.2470059880239521,0.3431669423310381,0.16385302879841113,0.13819095477386936
dur_w12,current_weighted_composite,difficult,008,44461,899,287,0.3192436040044494,2368,150,0.0633445945945946,0.5226480836236934,0.1668520578420467,0.3431669423310381,0.11299435028248589,0.09182736455463728
dur_w12,current_weighted_composite,difficult,009,72070,1151,376,0.3266724587315378,3369,195,0.0578806767586821,0.5186170212765957,0.16941789748045177,0.3431669423310381,0.1041388518024032,0.08628318584070796
dur_w12,current_weighted_composite,difficult,010,65072,1105,424,0.38371040723981903,3481,203,0.058316575696638895,0.47877358490566035,0.18371040723981902,0.3431669423310381,0.10396927016645326,0.08853030963802878
dur_w12,current_weighted_composite,easier,007,43127,2524,1507,0.597068145800317,3397,1063,0.31292316750073595,0.7053749170537492,0.4211568938193344,0.3431669423310381,0.43352365415986954,0.35906096943083937
dur_w12,current_weighted_composite,easier,008,51464,3204,1761,0.549625468164794,4020,1332,0.33134328358208953,0.7563884156729132,0.4157303370786517,0.3431669423310381,0.4608199273482097,0.3687707641196013
dur_w12,current_weighted_composite,easier,009,32636,2895,1810,0.6252158894645942,3462,1358,0.3922588099364529,0.7502762430939226,0.4690846286701209,0.3431669423310381,0.5151745068285281,0.42724555607991194
dur_w12,current_weighted_composite,easier,010,54394,3084,1950,0.632295719844358,4074,1446,0.3549337260677467,0.7415384615384616,0.4688715953307393,0.3431669423310381,0.48007968127490047,0.4040234702430847
dur_w12,current_weighted_composite,stress,007,151404,1154,248,0.21490467937608318,6198,90,0.01452081316553727,0.3629032258064516,0.0779896013864818,0.3431669423310381,0.027924294135898232,0.024483133841131665
dur_w12,current_weighted_composite,stress,008,106783,1006,246,0.24453280318091453,4895,100,0.020429009193054137,0.4065040650406504,0.09940357852882704,0.3431669423310381,0.03890293717175647,0.033892560582952036
dur_w12,current_weighted_composite,stress,009,100910,972,234,0.24074074074074073,4582,103,0.02247926669576604,0.44017094017094016,0.10596707818930041,0.3431669423310381,0.04277408637873754,0.03709038530788621
dur_w12,current_weighted_composite,stress,010,82471,766,199,0.2597911227154047,3710,72,0.01940700808625337,0.36180904522613067,0.09399477806788512,0.3431669423310381,0.036838066001534914,0.032171581769437
dur_w18,logistic_regression,central_provisional,007,29696,1469,1036,0.7052416609938734,1031,654,0.6343355965082444,0.6312741312741312,0.4452008168822328,0.20725495056129792,0.632801161103048,0.5232
dur_w18,logistic_regression,central_provisional,008,33468,1712,1012,0.5911214953271028,1063,703,0.6613358419567262,0.6946640316205533,0.41063084112149534,0.20725495056129792,0.6775903614457831,0.5066666666666667
dur_w18,logistic_regression,central_provisional,009,18507,1552,1068,0.6881443298969072,1079,722,0.6691380908248378,0.6760299625468165,0.4652061855670103,0.20725495056129792,0.6725663716814159,0.5488407449638921
