source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,logistic_score
15-60447,15-126308,2015-04-20,2015-08-13,NAME:sdis 44,NAME_FALLBACK,3.7779237844940874,2015-10-20,2.2339027595269383,0.6276828734121769,0.7435029661301509,1.0,0.6,0.777146756498597,0.9524992654834284,0.9524992654834284,1,0.4430474703119413,3,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-78916,16-72442,2015-05-22,2016-05-22,NAME:chu de nantes,NAME_FALLBACK,12.02365308804205,2015-11-22,5.978975032851511,0.0035041611914148,0.1447018576641215,0.8,0.6,0.3515216904802962,0.6923844795895296,0.6923844795895296,1,0.0302498263118499,10,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-79099,16-40003,2015-05-26,2016-03-21,SIRET:12000601000058,RAW_SIRET,9.85545335085414,2015-11-26,3.8107752956636,0.3648707840560666,0.0755261864994822,0.2,1.0,0.2776518612888354,0.3554816235368517,0.3554816235368517,2,0.0690062726995839,2,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-81386,16-42170,2015-05-28,2016-03-24,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,9.888304862023652,2015-11-28,3.843626806833114,0.3593955321944809,0.9315141171740462,1.0,0.6,0.7758788240595365,0.9236825452099919,0.9236825452099919,1,0.5312282765777303,4,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-82604,16-40204,2015-06-01,2016-03-22,NAME:ch le mans,NAME_FALLBACK,9.69119579500657,2015-11-01,4.664914586070959,0.22251423565484,0.5749275243277615,1.0,0.6,0.6168531924284264,0.9137952973159518,0.9137952973159518,1,0.2048843811343954,5,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-83632,15-92216,2015-06-03,2015-06-16,NAME:chu de nantes,NAME_FALLBACK,0.4270696452036793,2015-12-03,5.5847568988173455,0.0692071835304424,0.9777097698947343,1.0,0.6,0.7195002153457675,0.5310710305469802,0.5310710305469802,1,0.3920639755627236,9,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-85858,16-40880,2015-06-05,2016-03-22,NAME:universite de nantes,NAME_FALLBACK,9.559789750328514,2016-05-06,1.4783180026281209,0.7536136662286466,0.093956375847236,1.0,0.6,0.5812881481036942,0.9286118937793226,0.9286118937793226,3,0.0279612538308151,13,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-86218,15-95253,2015-06-05,2015-06-22,NAME:chu de nantes,NAME_FALLBACK,0.5584756898817346,2015-11-05,4.467805519053877,0.2553657468243538,0.9824713989585664,1.0,0.6,0.7677064263415867,0.6707471437298587,0.6707471437298587,1,0.4551368822876582,7,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-86342,16-63741,2015-06-05,2016-05-05,NAME:conseil general de loire-atlantique,NAME_FALLBACK,11.00525624178712,2016-05-21,0.5256241787122208,0.9123959702146298,0.2282287432313073,1.0,0.6,0.667979052684615,0.9212533926413246,0.9212533926413246,1,0.3640634197521137,10,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-96870,15-174987,2015-06-25,2015-11-18,NAME:angers loire metropole,NAME_FALLBACK,4.796320630749015,2015-12-25,1.2155059132720103,0.7974156811213315,0.0376112904268474,1.0,0.6,0.5725178719297295,0.9494292604960308,0.9494292604960308,1,0.0269964749940465,11,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
