source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
17-20854,17-92310,NAME_FALLBACK,NAME:institut 4 10,2017-02-10,2017-06-29,4.566360052562418,2017-06-10,0.6241787122207622,0.8959702146298729,0.040433650040320096,0.0,0.6,0.29814433117158023,False,False,1,0.07894821591028287,2,MEDIUM,broad,0.27838673159124894
17-20859,17-30623,NAME_FALLBACK,NAME:angers loire metropole,2017-02-12,2017-03-05,0.6898817345597897,2017-07-22,4.566360052562418,0.23893999123959697,0.9999999999999998,1.0,0.6,0.7697349978098991,False,False,1,0.4726805798141772,11,HIGH,broad,0.27838673159124894
17-21659,17-150835,NAME_FALLBACK,NAME:gie des epl de vendee,2017-02-14,2017-10-25,8.31143232588699,2017-08-14,2.3653088042049935,0.6057818659658345,0.14646281367421082,0.2,0.6,0.3227074512774324,False,True,1,0.3227074512774324,1,MEDIUM,broad,0.27838673159124894
17-21818,17-102741,NAME_FALLBACK,NAME:centre hospitalier paul chapron,2017-02-14,2017-07-18,5.059132720105125,2017-08-14,0.8869908015768725,0.8521681997371879,0.01919465386935365,0.1,0.6,0.30976017878857076,True,False,1,0.05188326140226235,2,MEDIUM,broad,0.27838673159124894
17-2217,17-9629,NAME_FALLBACK,NAME:carene,2017-01-05,2017-01-20,0.49277266754270693,2017-07-05,5.45335085413929,0.09110819097678491,0.9999999999999998,0.1,0.6,0.4627770477441961,True,False,1,0.07845312352700212,4,MEDIUM,broad,0.27838673159124894
17-23085,17-109228,NAME_FALLBACK,NAME:communaute de communes de grand lieu,2017-02-16,2017-07-28,5.321944809461235,2017-09-28,2.0367936925098555,0.6605343845816907,0.18038929852173974,0.0,0.6,0.28826985062803157,False,False,1,0.28826985062803157,1,MEDIUM,broad,0.27838673159124894
17-23552,17-139193,NAME_FALLBACK,NAME:angers loire metropole,2017-03-03,2017-10-04,7.063074901445466,2017-09-03,1.0183968462549278,0.8302671922908453,0.08271926918479999,0.0,0.6,0.29651854228739133,False,False,1,0.008463395449315736,12,POTENTIAL,broad,0.27838673159124894
17-25692,17-102039,NAME_FALLBACK,NAME:departement de la sarthe,2017-02-22,2017-07-17,4.763469119579501,2017-08-22,1.1826544021024967,0.8028909329829172,0.01316554826931179,0.1,0.6,0.29533067513998845,True,False,1,0.04443599905608231,5,POTENTIAL,broad,0.27838673159124894
17-26666,17-61199,NAME_FALLBACK,NAME:vendee expansion,2017-02-25,2017-05-04,2.2339027595269383,2017-10-09,5.19053876478318,0.13491020586947,0.008780129250107065,1.0,0.6,0.396800596704905,False,False,1,0.396800596704905,1,MEDIUM,broad,0.27838673159124894
17-29415,17-104238,NAME_FALLBACK,NAME:conseil departemental loire-atlantique,2017-03-03,2017-07-20,4.566360052562418,2017-09-03,1.4783180026281209,0.7536136662286466,0.02292252977646618,1.0,0.6,0.5564263019789248,False,False,1,0.050456087349051826,8,HIGH,broad,0.27838673159124894
17-30623,17-176420,NAME_FALLBACK,NAME:angers loire metropole,2017-03-05,2017-12-15,9.362680683311432,2017-12-19,0.1314060446780552,0.9780989925536575,0.011902540545519839,0.0,0.6,0.3086906373293463,False,False,1,0.018212274744203893,12,POTENTIAL,broad,0.27838673159124894
17-32203,18-13243,NAME_FALLBACK,NAME:universite d angers,2017-03-07,2018-01-29,10.775295663600525,2018-01-18,0.36136662286465177,0.939772229522558,0.0,0.1,0.6,0.3249430573806395,True,False,1,0.21165850948591042,2,MEDIUM,broad,0.27838673159124894
17-33827,17-170649,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-03-10,2017-12-04,8.83705650459921,2017-09-10,2.7923784494086727,0.5346035917652212,0.21126394611610666,0.1,0.6,0.2975932790819426,True,False,1,0.0014891162835548033,7,POTENTIAL,broad,0.27838673159124894
17-34018,17-120212,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-03-10,2017-08-25,5.519053876478318,2017-09-10,0.5256241787122208,0.9123959702146298,0.06639009890367253,0.1,0.6,0.3413355271699428,True,True,1,0.015038725886408588,19,POTENTIAL,broad,0.27838673159124894
17-35545,18-6884,NAME_FALLBACK,NAME:chu de nantes,2017-03-16,2018-01-16,10.052562417871222,2018-02-03,0.5913272010512484,0.9014454664914586,0.030530810943684893,0.0,0.6,0.29604715045315433,False,True,1,0.019155524482125652,5,POTENTIAL,broad,0.27838673159124894
