notice_id,publication_date,start_date,start_date_source,buyer_key,buyer_key_type,buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,buyer_identifier_source,code_departement,objet_clean,cpv_clean,cpv_division,cpv_group,cpv_class,cpv_category,cpv_generic_flag,declared_duration_months,dur_was_imputed,duration_quality_flag,estimated_end_date,is_digital_scope,category_label,study_end_date
21-44911,2021-04-04,2021-08-15,LINKED_ATTRIBUTION_DATE,SIRET:27490003400019,RAW_SIRET,MAINE LOIRE HABITAT OFFICE PUB HABITAT,maine loire habitat office pub habitat,27490003400019,274900034,RAW_SIRET_FIELD,49,Accord-cadre : Fourniture de matériel informatique,30200000,30,302,3020,30200,False,24.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2023-08-15,True,DIGITAL_ICT,2026-07-13
21-45579,2021-04-08,2021-04-08,PUBLICATION_DATE_FALLBACK,NAME:nantes metropole,NAME_FALLBACK,Nantes Métropole,nantes metropole,,,NONE,44,"acquisition et maintenance de copieurs bureautiques multifonctions pour le compte du groupement de commandes informatiques (nantes metropole, ville de nantes, ccas, esbansn",30121100,30,301,3012,30121,False,24.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2023-04-08,True,DIGITAL_ICT,2026-07-13
21-50635,2021-04-17,2022-04-15,LINKED_ATTRIBUTION_DATE,NAME:gie sesam vitale,NAME_FALLBACK,GIE SESAM Vitale,gie sesam vitale,,,NONE,72,Acquisition d'un progiciel de gestion intégré- achat/finance,72262000,72,722,7226,72262,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2026-04-15,True,DIGITAL_ICT,2026-07-13
21-48350,2021-04-12,2021-04-12,PUBLICATION_DATE_FALLBACK,NAME:cci de region bretagne,NAME_FALLBACK,CCI de région Bretagne,cci de region bretagne,,,NONE,35;56;22;29;75;92;44,"l'objet du contrat est un marché de fournitures, maintenance de réseaux, sécurité informatique et data center pour les cci de région bretagne.",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2021-10-12,True,DIGITAL_ICT,2026-07-13
21-55981,2021-04-29,2021-08-10,LINKED_ATTRIBUTION_DATE,NAME:la roche-sur-yon agglomeration,NAME_FALLBACK,LA ROCHE-SUR-YON AGGLOMERATION,la roche-sur-yon agglomeration,,,NONE,85,livraison et montage de mobiliers et de petits équipements associés pour l'aménagement de l'extension de la loco numérique,39130000,39,391,3913,39130,False,18.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2023-02-10,True,DIGITAL_ICT,2026-07-13
21-50004,2021-04-16,2021-08-04,LINKED_ATTRIBUTION_DATE,NAME:comcom estuaire et sillon,NAME_FALLBACK,Comcom Estuaire et Sillon,comcom estuaire et sillon,,,NONE,44,"Contrat de services incluant l'assistance aux utilisateurs, le maintien en condition opérationnelle, l'infogérance et l'hébergement des équipements et des systèmes d'information.",72500000,72,725,7250,72500,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-08-04,True,DIGITAL_ICT,2026-07-13
21-51104,2021-04-18,2022-04-15,LINKED_ATTRIBUTION_DATE,NAME:gie sesam vitale,NAME_FALLBACK,GIE SESAM Vitale,gie sesam vitale,,,NONE,72,Assistance technique études fonctionnelles,72223000,72,722,7222,72223,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2026-04-15,True,DIGITAL_ICT,2026-07-13
21-48340,2021-04-15,2021-04-15,PUBLICATION_DATE_FALLBACK,NAME:nantes metropole,NAME_FALLBACK,Nantes Métropole,nantes metropole,,,NONE,44,"Acquisition et maintenance de matériels actifs, d'éléments de connectique réseau, de logiciels et d'autocommutateurs téléphoniques en réseau et prestations associées",32400000,32,324,3240,32400,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2024-04-15,True,DIGITAL_ICT,2026-07-13
21-53955,2021-04-24,2021-09-16,LINKED_ATTRIBUTION_DATE,NAME:dir interdepartementale des rte ouest,NAME_FALLBACK,DIR INTERDEPARTEMENTALE DES RTE OUEST,dir interdepartementale des rte ouest,,,NONE,35;22;29;44;49;53;56,"Prestations de maîtrise d'oeuvre, de conseil et d'étude en informatique",72224000,72,722,7222,72224,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-09-16,True,DIGITAL_ICT,2026-07-13
21-53968,2021-04-24,2021-04-24,PUBLICATION_DATE_FALLBACK,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,,,NONE,44,"Prestations de conception, de production et de maintenance de dispositifs de médiation pédagogique et numérique pour le laboratoire des usages numériques",72000000,72,720,7200,72000,True,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-04-24,True,DIGITAL_ICT,2026-07-13
