notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
20-105702,SIRET:20007186800158,RAW_SIRET,2020-08-28,2021-02-04,2025-02-04,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,70.4664914586071,,,,strict
20-97380,NAME:cci nantes saint-nazaire,NAME_FALLBACK,2020-08-01,2020-12-11,2024-12-11,2026-07-13,72,72400,DIGITAL_ICT,True,48.0,True,0,71.35348226018397,,,,strict
20-103852,NAME:ch le mans,NAME_FALLBACK,2020-08-22,2020-10-21,2024-10-21,2026-07-13,48,48450,DIGITAL_ICT,True,48.0,True,0,70.66360052562418,,,,strict
20-100172,NAME:communaute urbaine d alencon,NAME_FALLBACK,2020-08-07,2020-08-07,2024-08-07,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,71.15637319316689,,,,strict
20-98214,NAME:nantes metropole,NAME_FALLBACK,2020-08-05,2020-08-05,2024-08-05,2026-07-13,72,72224,DIGITAL_ICT,True,48.0,True,1,46.71484888304862,24-75502,0.4366162943495401,MEDIUM,strict
20-104420,NAME:commune de chemille en anjou,NAME_FALLBACK,2020-08-21,2020-08-21,2021-02-21,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,2.0696452036793693,20-131075,0.5243736311870346,HIGH,strict
20-106651,NAME:nantes metropole,NAME_FALLBACK,2020-08-28,2020-08-28,2021-02-28,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,70.4664914586071,,,,strict
20-98937,SIRET:24440061000055,RAW_SIRET,2020-08-06,2021-01-07,2025-01-07,2026-07-13,35,35113,DIGITAL_ICT,True,48.0,True,0,71.1892247043364,,,,strict
20-114106,NAME:universite d angers,NAME_FALLBACK,2020-09-19,2020-09-19,2024-09-19,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,69.7437582128778,,,,strict
20-114632,NAME:la roche-sur-yon agglomeration,NAME_FALLBACK,2020-09-21,2020-11-02,2021-05-02,2026-07-13,22,22440,DIGITAL_ICT,True,6.0,True,0,69.67805519053877,,,,strict
20-115620,NAME:commune de nantes,NAME_FALLBACK,2020-09-22,2020-09-22,2024-09-22,2026-07-13,72,72600,DIGITAL_ICT,True,48.0,True,0,69.64520367936925,,,,strict
20-118393,NAME:sdis de la sarthe,NAME_FALLBACK,2020-09-28,2021-02-23,2025-02-23,2026-07-13,48,48820,DIGITAL_ICT,True,48.0,True,0,69.44809461235216,,,,strict
20-118247,NAME:commune de saint-herblain,NAME_FALLBACK,2020-09-30,2021-01-08,2025-01-08,2026-07-13,72,72250,DIGITAL_ICT,True,48.0,True,0,69.38239159001314,,,,strict
20-107792,NAME:com d agglo reg nazairienne estuaire,NAME_FALLBACK,2020-09-01,2021-01-12,2025-01-12,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,70.33508541392904,,,,strict
20-111698,SIRET:23440003400026,RAW_SIRET,2020-09-13,2020-12-12,2023-12-12,2026-07-13,32,32412,DIGITAL_ICT,True,36.0,True,0,69.94086727989487,,,,strict
20-114714,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,2020-09-20,2021-02-06,2025-02-06,2026-07-13,72,72611,DIGITAL_ICT,True,48.0,True,0,69.71090670170828,,,,strict
20-116086,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2020-09-24,2020-09-24,2023-09-24,2026-07-13,71,71240,DIGITAL_ICT,True,36.0,True,0,69.57950065703022,,,,strict
20-111877,NAME:universite de nantes,NAME_FALLBACK,2020-09-11,2020-12-15,2024-12-15,2026-07-13,72,72268,DIGITAL_ICT,True,48.0,True,0,70.0065703022339,,,,strict
