source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-70219,16-100426,2016-05-17,2016-07-07,NAME:angers loire metropole,NAME_FALLBACK,1.6754270696452036,2016-11-17,4.369250985545335,0.27179150240911076,0.02123675146443114,0.4,0.6,0.2553807386148286,False,False,3,7,0.09777931273813195
16-70219,16-81907,2016-05-17,2016-06-08,NAME:angers loire metropole,NAME_FALLBACK,0.7227332457293035,2016-11-17,5.321944809461235,0.11300919842312751,0.0421578226551014,0.4,0.6,0.22300753753506736,False,False,4,7,0.09777931273813195
16-70219,17-23552,2016-05-17,2017-03-03,NAME:angers loire metropole,NAME_FALLBACK,9.526938239159001,2016-11-17,3.4822601839684624,0.41962330267192294,0.14076329605836171,0.0,0.6,0.21417297928840734,False,False,5,7,0.09777931273813195
16-70219,17-20859,2016-05-17,2017-02-12,NAME:angers loire metropole,NAME_FALLBACK,8.902759526938238,2016-11-17,2.8580814717477003,0.52365308804205,0.010779916657876074,0.0,0.6,0.19468624284076913,False,False,6,7,0.09777931273813195
16-70219,17-30623,2016-05-17,2017-03-05,NAME:angers loire metropole,NAME_FALLBACK,9.592641261498029,2016-11-17,3.54796320630749,0.40867279894875164,0.010779916657876074,0.0,0.6,0.16594117056744453,False,False,7,7,0.09777931273813195
16-70307,16-168154,2016-05-17,2016-11-21,NAME:angers loire metropole,NAME_FALLBACK,6.176084099868594,2016-11-17,0.1314060446780552,0.9780989925536575,0.00467810230367405,0.1,0.6,0.3361620839447003,True,False,1,7,0.03351926522358262
16-70307,16-178183,2016-05-17,2016-12-15,NAME:angers loire metropole,NAME_FALLBACK,6.964520367936925,2016-11-17,0.9198423127463863,0.8466929478756022,0.0027702335777633185,0.1,0.6,0.3026428187211177,True,False,2,7,0.03351926522358262
16-70307,17-20859,2016-05-17,2017-02-12,NAME:angers loire metropole,NAME_FALLBACK,8.902759526938238,2016-11-17,2.8580814717477003,0.52365308804205,0.007570475731188806,0.1,0.6,0.22356293851642858,True,False,3,7,0.03351926522358262
16-70307,17-23552,2016-05-17,2017-03-03,NAME:angers loire metropole,NAME_FALLBACK,9.526938239159001,2016-11-17,3.4822601839684624,0.41962330267192294,0.06397272757301051,0.1,0.6,0.2172962803185344,True,False,4,7,0.03351926522358262
16-70307,17-30623,2016-05-17,2017-03-05,NAME:angers loire metropole,NAME_FALLBACK,9.592641261498029,2016-11-17,3.54796320630749,0.40867279894875164,0.007570475731188806,0.1,0.6,0.194817866243104,True,False,5,7,0.03351926522358262
16-70307,16-100426,2016-05-17,2016-07-07,NAME:angers loire metropole,NAME_FALLBACK,1.6754270696452036,2016-11-17,4.369250985545335,0.27179150240911076,0.01000206896382741,0.1,0.6,0.16144859973961728,True,False,6,7,0.03351926522358262
16-70307,16-81907,2016-05-17,2016-06-08,NAME:angers loire metropole,NAME_FALLBACK,0.7227332457293035,2016-11-17,5.321944809461235,0.11300919842312751,0.03388538004741806,0.1,0.6,0.1301121826223782,True,False,7,7,0.03351926522358262
16-71885,16-155479,2016-05-23,2016-10-27,NAME:nantes metropole,NAME_FALLBACK,5.157687253613666,2016-11-23,0.8869908015768725,0.8521681997371879,0.033030550339916025,0.1,0.6,0.3146027425532676,True,False,1,16,0.004256198870852934
