source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,score_no_temporal,variant,threshold_used
15-174987,19-136955,2015-11-18,2019-09-10,NAME:angers loire metropole,NAME_FALLBACK,45.729303547963205,2019-11-18,2.266754270696452,0.6222076215505914,0.8404844620896664,1.0,0.6,0.8722260823085111,False,False,1,8,0.4525611799316918,0.8722260823085111,no_temporal_score_reference_pool,0.187116725139698
15-175210,20-86796,2015-11-19,2020-07-07,NAME:nantes metropole,NAME_FALLBACK,55.58475689881735,2020-03-04,4.106438896189225,0.3155935173017958,0.0161036446235735,0.6,0.6,0.32751503415766764,False,False,1,24,0.002660839773878,0.32751503415766764,no_temporal_score_reference_pool,0.187116725139698
15-175415,16-73319,2015-11-20,2016-05-24,NAME:commune de saint-nazaire,NAME_FALLBACK,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536576,0.524444297632995,0.1,0.6,0.3647406722287311,True,False,1,5,0.1183824609405622,0.3647406722287311,no_temporal_score_reference_pool,0.187116725139698
15-175690,20-6485,2015-11-20,2020-01-19,NAME:cnieg,NAME_FALLBACK,49.96714848883048,2020-03-09,1.6425755584756898,0.7262374069207184,0.1341538685231255,0.2,0.6,0.2226051386441253,False,False,1,3,0.0519471399288472,0.2226051386441253,no_temporal_score_reference_pool,0.187116725139698
15-176598,16-35152,2015-11-23,2016-03-11,NAME:departement de la sarthe,NAME_FALLBACK,3.580814717477004,2016-05-23,2.3981603153745072,0.6003066141042488,0.7333573398843474,0.1,0.6,0.4622334252793621,True,False,1,7,0.1706984094719717,0.4622334252793621,no_temporal_score_reference_pool,0.187116725139698
15-178562,20-8882,2015-11-26,2020-01-20,NAME:ville d angers,NAME_FALLBACK,49.80289093298291,2020-05-23,4.073587385019711,0.3210687691633814,0.5788859900902603,1.0,0.6,0.7501467953754548,False,False,1,1,0.6428772888224363,0.7501467953754548,no_temporal_score_reference_pool,0.187116725139698
15-178791,19-119269,2015-11-30,2019-08-02,NAME:nantes metropole,NAME_FALLBACK,44.053876478318,2019-11-30,3.942181340341656,0.342969776609724,0.4732032669726173,1.0,0.6,0.7008281912538881,False,False,1,22,0.0180154468352022,0.7008281912538881,no_temporal_score_reference_pool,0.187116725139698
15-182813,20-12202,2015-12-04,2020-01-26,NAME:conseil regional des pays de la loire,NAME_FALLBACK,49.73718791064389,2020-05-04,3.252299605781866,0.4579500657030223,0.4051502541762786,0.0,0.6,0.2690701186155967,False,True,1,6,0.0419869614953153,0.2690701186155967,no_temporal_score_reference_pool,0.187116725139698
15-184251,20-47300,2015-12-08,2020-04-02,SIRET:19490970100303,RAW_SIRET,51.80683311432325,2020-06-07,2.1681997371879107,0.6386333771353483,0.0622664096451911,0.2,1.0,0.2423909911677559,False,True,1,1,0.341451587659654,0.2423909911677559,no_temporal_score_reference_pool,0.187116725139698
15-184743,16-80474,2015-12-11,2016-06-15,NAME:com communes du pays d ancenis,NAME_FALLBACK,6.14323258869908,2016-06-11,0.1314060446780552,0.9780989925536576,0.1661527270200235,0.1,0.6,0.197537939276011,True,False,1,1,0.3926782025954226,0.197537939276011,no_temporal_score_reference_pool,0.187116725139698
15-184750,16-151274,2015-12-09,2016-10-19,NAME:ecole centrale de nantes,NAME_FALLBACK,10.348226018396844,2016-06-09,4.336399474375821,0.2772667542706964,0.1467260843316389,0.1,0.6,0.18847217268809818,True,False,1,3,0.0095591073753479,0.18847217268809818,no_temporal_score_reference_pool,0.187116725139698
15-187883,19-146419,2015-12-16,2019-09-28,SIRET:22720002900014,RAW_SIRET,45.40078843626807,2019-04-30,4.960578186596584,0.1732369689005694,0.1188832198747204,0.2,1.0,0.26881216927486956,False,False,1,4,0.0622265632079778,0.26881216927486956,no_temporal_score_reference_pool,0.187116725139698
15-189271,19-130357,2015-12-18,2019-08-27,NAME:departement de la sarthe,NAME_FALLBACK,44.2838370565046,2019-12-18,3.712220762155059,0.3812965396408235,0.554955120721587,0.1,0.6,0.3789790563367407,True,False,1,9,0.0246386333771353,0.3789790563367407,no_temporal_score_reference_pool,0.187116725139698
15-192356,20-32203,2015-12-24,2020-03-06,NAME:nantes metropole,NAME_FALLBACK,50.39421813403416,2019-12-24,2.3981603153745072,0.6003066141042488,0.7268622558120931,1.0,0.6,0.8192023860456434,False,False,1,22,0.3344167405765052,0.8192023860456434,no_temporal_score_reference_pool,0.187116725139698
15-32051,15-39187,2015-03-04,2015-03-16,NAME:caisse des depots,NAME_FALLBACK,0.3942181340341655,2015-09-04,5.650459921156373,0.0582566798072711,0.974339032163053,0.1,0.6,0.5746915483427582,True,False,1,2,0.0059521037170918,0.5746915483427582,no_temporal_score_reference_pool,0.187116725139698
