source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
16-33632,20-26585,NAME:nantes metropole,NAME_FALLBACK,2016-03-11,2020-02-23,47.43758212877792,2020-03-11,0.5584756898817346,0.9069207183530442,0.1891840822584344,0.4,0.6,0.4729446083787131,False,False,1,0.0404148476664126,24,strict,0.39308340344166265
16-37108,17-55087,NAME:nantes metropole,NAME_FALLBACK,2016-03-16,2017-04-21,13.173455978975031,2017-03-29,0.7555847568988173,0.8740692071835304,0.3691385033553179,0.1,0.6,0.4377157779702438,True,False,1,0.0051841224626112,17,strict,0.39308340344166265
16-45870,19-127477,NAME:angers loire metropole,NAME_FALLBACK,2016-03-30,2020-05-02,49.08015768725361,2020-03-30,1.0840998685939554,0.8193166885676741,0.2338108003518961,0.4,0.6,0.4666629522650822,False,False,1,0.1065444714416665,9,strict,0.39308340344166265
16-47620,20-58079,SIRET:22850001300658,RAW_SIRET,2016-03-31,2020-04-30,48.98160315374507,2020-09-08,4.303547963206308,0.282742006132282,0.8499638900119718,1.0,1.0,0.7681728630372606,False,False,1,0.4882100947499194,9,strict,0.39308340344166265
16-49315,16-153372,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2016-04-05,2016-10-20,6.504599211563732,2016-10-05,0.4927726675427069,0.9178712220762156,0.8869043965083023,0.1,0.6,0.6298843442969597,True,False,1,0.6298843442969597,1,strict,0.39308340344166265
16-57562,19-127477,NAME:angers loire metropole,NAME_FALLBACK,2016-04-25,2020-05-02,48.22601839684625,2020-04-25,0.2299605781865965,0.9616732369689006,0.0324914865055347,0.4,0.6,0.4317903295191623,False,False,1,0.0337542865948178,9,strict,0.39308340344166265
16-68218,18-101350,NAME:universite de nantes,NAME_FALLBACK,2016-05-14,2018-07-20,26.182654402102497,2018-07-21,0.0328515111695138,0.9945247481384144,0.1705809109342438,0.4,0.6,0.4883345058615889,False,False,1,0.2267582263250265,8,strict,0.39308340344166265
16-68672,16-151274,NAME:ecole centrale de nantes,NAME_FALLBACK,2016-05-12,2016-10-19,5.256241787122208,2016-11-12,0.7884362680683311,0.8685939553219448,0.274669025017566,0.1,0.6,0.4032826475866343,True,False,1,0.1379828841110963,3,strict,0.39308340344166265
16-70219,20-66280,NAME:angers loire metropole,NAME_FALLBACK,2016-05-17,2020-05-28,48.35742444152431,2020-05-17,0.3613666228646517,0.939772229522558,0.081131387131054,0.4,0.6,0.4433390428765084,False,False,1,0.0183443143148935,7,strict,0.39308340344166265
16-72521,16-113197,NAME:ville de noirmoutier,NAME_FALLBACK,2016-05-19,2016-07-27,2.266754270696452,2016-11-19,3.7779237844940874,0.3703460359176522,0.70102656847839,0.1,0.6,0.4279458079468495,True,False,1,0.4279458079468495,1,strict,0.39308340344166265
16-73215,20-26328,NAME:nantes metropole,NAME_FALLBACK,2016-05-23,2020-02-21,44.97371879106439,2020-05-23,3.0223390275952693,0.4962768287341218,0.0327184537978388,1.0,0.6,0.495520666012774,False,False,1,0.1214614518665176,24,strict,0.39308340344166265
