source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
19-157359,23-14004,2019-10-18,2023-02-01,SIRET:21440184600016,RAW_SIRET,39.48751642575559,2023-03-22,1.609724047306176,0.865856329391152,0.1423214762871304,0.4,1.0,0.4862765990482836,False,False,1,11,0.08293437750924137,window_12m,0.3441998756369461
19-158679,20-37940,2019-10-18,2020-03-14,NAME:nantes metropole,NAME_FALLBACK,4.862023653088042,2020-04-18,1.149802890932983,0.9041830924222514,0.11156064962718648,0.1,0.6,0.3550920004750781,True,False,1,29,0.012484928152456665,window_12m,0.3441998756369461
19-164966,19-178825,2019-10-30,2019-12-03,NAME:commune de nantes,NAME_FALLBACK,1.1169513797634691,2020-10-30,10.90670170827858,0.09110819097678491,0.12916060048543496,1.0,0.6,0.42798325791409847,False,False,1,12,0.10479519251210168,window_12m,0.3441998756369461
19-165780,20-8243,2019-10-31,2020-01-17,NAME:oti du pays de st gilles croix de vie,NAME_FALLBACK,2.562417871222076,2020-10-31,9.461235216819974,0.21156373193166889,0.09606005761699096,1.0,0.6,0.446511953148864,False,False,1,1,0.446511953148864,window_12m,0.3441998756369461
19-16942,23-34705,2019-02-03,2023-03-17,NAME:nantes metropole,NAME_FALLBACK,49.37582128777924,2023-05-05,1.609724047306176,0.865856329391152,0.12104351771253977,0.2,0.6,0.3788293135471769,False,False,1,25,0.006372550336054272,window_12m,0.3441998756369461
19-169787,20-31457,2019-11-12,2020-03-04,NAME:angers loire metropole,NAME_FALLBACK,3.712220762155059,2020-05-12,2.266754270696452,0.8111038107752957,0.1492281766326792,0.1,0.6,0.34500581451526163,True,False,1,7,0.0049075327205636565,window_12m,0.3441998756369461
19-17058,23-174149,2019-02-03,2023-12-16,SIRET:23440003400026,RAW_SIRET,58.37713534822601,2024-01-23,1.2483574244415243,0.8959702146298729,0.0028148274190244677,0.4,1.0,0.44497774325412676,False,False,1,17,0.020832977594906432,window_12m,0.3441998756369461
19-174412,24-66729,2019-11-22,2024-06-07,NAME:semitan,NAME_FALLBACK,54.50065703022339,2024-07-30,1.7411300919842312,0.8549058256679807,0.18644433440126268,0.2,0.6,0.3989819734574371,False,False,1,7,0.11362060683457242,window_12m,0.3441998756369461
19-174440,23-8217,2019-11-21,2023-01-19,NAME:sdis49,NAME_FALLBACK,37.943495400788436,2023-01-07,0.39421813403416556,0.9671484888304862,0.09016220409030373,0.2,0.6,0.39334389363922784,False,False,1,7,0.05107738827368696,window_12m,0.3441998756369461
19-175998,21-90254,2019-11-24,2021-06-30,NAME:communaute communes parthenay-gatine,NAME_FALLBACK,19.185282522996058,2021-07-23,0.7555847568988173,0.9370346035917653,0.39407715395694504,0.0,0.6,0.4321856547828721,False,False,1,3,0.1889334571623252,window_12m,0.3441998756369461
