source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-178206,16-55859,NAME:centre hospitalier de saint-nazaire,NAME_FALLBACK,2015-11-27,2016-04-25,4.92772667542707,2016-05-27,1.0512483574244416,0.8247919404292597,0.1303565068804161,0.1,0.6,0.3418227625154605,True,False,1,0.0065444623076923,2,broad,0.26420166983556403
15-178562,20-8882,NAME:ville d angers,NAME_FALLBACK,2015-11-26,2020-01-20,49.80289093298291,2020-05-23,4.073587385019711,0.3210687691633814,0.5788859900902603,1.0,0.6,0.6428772888224363,False,False,1,0.6428772888224363,1,broad,0.26420166983556403
15-178791,19-191665,NAME:nantes metropole,NAME_FALLBACK,2015-11-30,2019-12-26,48.85019710906702,2019-11-30,0.8541392904073587,0.8576434515987735,0.1570519186524456,1.0,0.6,0.6293790344280494,False,False,1,0.0180154468352022,22,broad,0.26420166983556403
15-179747,19-165120,NAME:chu de nantes,NAME_FALLBACK,2015-11-27,2019-10-30,47.07621550591327,2019-11-27,0.9198423127463864,0.8466929478756022,0.0420236223273496,0.0,0.6,0.2863815047834729,False,False,1,0.0641952443228446,6,broad,0.26420166983556403
15-182813,20-12202,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-12-04,2020-01-26,49.73718791064389,2020-05-04,3.252299605781866,0.4579500657030223,0.4051502541762786,0.0,0.6,0.3162901053874531,False,True,1,0.0419869614953153,6,broad,0.26420166983556403
15-182957,19-165120,NAME:chu de nantes,NAME_FALLBACK,2015-12-04,2019-10-30,46.84625492772668,2019-12-04,1.149802890932983,0.8083661848445028,0.040658060950956,0.0,0.6,0.2763218675439603,False,False,1,0.0449918987890114,8,broad,0.26420166983556403
15-184251,20-47300,SIRET:19490970100303,RAW_SIRET,2015-12-08,2020-04-02,51.80683311432325,2020-06-07,2.1681997371879107,0.6386333771353483,0.0622664096451911,0.2,1.0,0.341451587659654,False,True,1,0.341451587659654,1,broad,0.26420166983556403
15-184743,16-80474,NAME:com communes du pays d ancenis,NAME_FALLBACK,2015-12-11,2016-06-15,6.14323258869908,2016-06-11,0.1314060446780552,0.9780989925536576,0.1661527270200235,0.1,0.6,0.3926782025954226,True,False,1,0.3926782025954226,1,broad,0.26420166983556403
15-184750,16-68672,NAME:ecole centrale de nantes,NAME_FALLBACK,2015-12-09,2016-05-12,5.091984231274639,2016-06-09,0.9198423127463864,0.8466929478756022,0.1341163638765654,0.1,0.6,0.3486139643256984,True,False,1,0.0095591073753479,3,broad,0.26420166983556403
15-187883,19-70735,SIRET:22720002900014,RAW_SIRET,2015-12-16,2019-05-05,40.60446780551905,2019-04-30,0.164257555847569,0.9726237406920718,0.0943871729490859,0.0,1.0,0.376191445705198,False,False,1,0.0622265632079778,4,broad,0.26420166983556403
15-189271,20-16042,NAME:departement de la sarthe,NAME_FALLBACK,2015-12-18,2020-01-31,49.44152431011826,2019-12-18,1.445466491458607,0.7590889180902322,0.113936821994648,0.4,0.6,0.4096501172206848,False,False,1,0.0246386333771353,9,broad,0.26420166983556403
15-192276,20-59788,NAME:vendee eau,NAME_FALLBACK,2016-02-05,2020-05-04,50.91984231274638,2020-05-30,0.8541392904073587,0.8576434515987735,0.1077385896118535,0.0,0.6,0.3121193692638421,False,False,1,0.036957950065703,3,broad,0.26420166983556403
15-192356,20-32203,NAME:nantes metropole,NAME_FALLBACK,2015-12-24,2020-03-06,50.39421813403416,2019-12-24,2.3981603153745072,0.6003066141042488,0.7268622558120931,1.0,0.6,0.7644784430602949,False,False,1,0.3344167405765052,22,broad,0.26420166983556403
15-194034,20-8874,NAME:ministere des affaires etrangeres,NAME_FALLBACK,2015-12-30,2020-01-22,48.75164257555847,2019-12-30,0.7555847568988173,0.8740692071835304,0.0308933208125807,0.0,0.6,0.2893299640802859,False,True,1,0.2893299640802859,1,broad,0.26420166983556403
15-32051,15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-03-04,2015-04-14,1.3469119579500657,2015-09-04,4.697766097240473,0.2170389837932544,0.8779291113647559,0.1,0.6,0.4515349349259781,True,False,1,0.0059521037170918,2,broad,0.26420166983556403
15-32168,19-147943,SIRET:23440003400026,RAW_SIRET,2015-03-03,2019-10-02,54.993429697766096,2019-09-03,0.9526938239159,0.8412176960140166,0.2503159023174722,1.0,1.0,0.6979149898146194,False,False,1,0.2957459765069643,8,broad,0.26420166983556403
15-33241,18-94803,NAME:chu de nantes,NAME_FALLBACK,2015-03-05,2018-07-06,40.04599211563732,2018-09-17,2.3981603153745072,0.6003066141042488,0.0557304751007962,0.2,0.6,0.2895823198113408,False,False,1,0.0008363509823172,5,broad,0.26420166983556403
15-33752,19-174098,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-03-06,2019-11-21,56.53745072273324,2019-10-08,1.445466491458607,0.7590889180902322,0.044951434027103,0.2,0.6,0.3255052314320441,False,True,1,0.03804227888304,7,broad,0.26420166983556403
15-39187,15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-03-16,2015-04-14,0.9526938239159,2015-09-16,5.091984231274639,0.1513359614542269,0.8554006006749058,0.1,0.6,0.4272242005997737,True,False,1,0.4272242005997737,1,broad,0.26420166983556403
15-42765,15-167650,NAME:cg49,NAME_FALLBACK,2015-03-20,2015-11-03,7.490144546649145,2015-09-20,1.445466491458607,0.7590889180902322,0.3505830839685025,0.1,0.6,0.4024763089115339,True,False,1,0.1269342335478957,5,broad,0.26420166983556403
15-44894,15-126736,NAME:prefecture,NAME_FALLBACK,2015-03-24,2015-08-13,4.664914586070959,2015-09-24,1.3797634691195797,0.7700394218134035,0.4191345179414422,0.1,0.6,0.4292069367328556,True,False,1,0.4292069367328556,1,broad,0.26420166983556403
15-45169,19-75795,NAME:vendee eau,NAME_FALLBACK,2015-03-27,2019-05-15,49.60578186596583,2019-07-02,1.5768725361366622,0.7371879106438897,0.2171700865939043,0.8,0.6,0.560306507968839,False,False,1,0.560306507968839,1,broad,0.26420166983556403
15-47591,18-32259,NAME:ville d angers,NAME_FALLBACK,2015-03-27,2018-03-07,35.34822601839684,2018-03-27,0.657030223390276,0.8904949627682873,0.0,0.1,0.6,0.3126237406920718,True,False,1,0.0368953508363885,2,broad,0.26420166983556403
15-48624,16-49315,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2015-03-31,2016-04-05,12.187910643889618,2016-03-31,0.164257555847569,0.9726237406920718,0.0826370603046206,0.1,0.6,0.3620789062796352,True,False,1,0.3620789062796352,1,broad,0.26420166983556403
