source_notice_id,candidate_notice_id,sweep,severity,s_text,s_cpv,s_time,s_buyer,composite,is_arg_max,clears_balanced_threshold,recovered
15-96870,19-136955,duration_only,1,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,duration_only,2,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,duration_only,3,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,combined,0,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,combined,1,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,combined,2,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,combined,3,0.0,0.2,0.5784056066579062,0.6,0.26460140166447654,False,False,False
15-98729,15-170834,text_only,0,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,text_only,1,0.3387661882029502,0.1,0.7590889180902322,0.6,0.3983403953935906,True,True,True
15-98729,15-170834,text_only,2,0.002607648590999876,0.1,0.7590889180902322,0.6,0.28068490652940803,True,False,False
15-98729,15-170834,text_only,3,0.004534163681881663,0.1,0.7590889180902322,0.6,0.28135918681121663,True,False,False
15-98729,15-170834,cpv_only,0,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,cpv_only,1,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,cpv_only,2,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,cpv_only,3,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,duration_only,0,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,duration_only,1,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,duration_only,2,0.5071934548130069,0.1,0.0,0.6,0.2675177091845524,False,False,False
15-98729,15-170834,duration_only,3,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,combined,0,0.5071934548130069,0.1,0.7590889180902322,0.6,0.4572899387071105,True,True,True
15-98729,15-170834,combined,1,0.3387661882029502,0.1,0.7590889180902322,0.6,0.3983403953935906,True,True,True
15-98729,15-170834,combined,2,0.002607648590999876,0.1,0.0,0.6,0.09091267700684995,False,False,False
15-98729,15-170834,combined,3,0.004534163681881663,0.1,0.7590889180902322,0.6,0.28135918681121663,True,False,False
16-102715,19-69736,text_only,0,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,text_only,1,0.23738595979414667,1.0,0.6331581252737626,0.6,0.6013746172463921,True,True,True
16-102715,19-69736,text_only,2,0.021041725060970823,1.0,0.6331581252737626,0.6,0.5256541350897804,True,True,True
16-102715,19-69736,text_only,3,0.03271759919877679,1.0,0.6331581252737626,0.6,0.5297406910380125,True,True,True
16-102715,19-69736,cpv_only,0,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,cpv_only,1,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,cpv_only,2,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,cpv_only,3,0.2931357972167832,0.2,0.6331581252737626,0.6,0.38088706034431474,True,True,True
16-102715,19-69736,duration_only,0,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,duration_only,1,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,duration_only,2,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,duration_only,3,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,combined,0,0.2931357972167832,1.0,0.6331581252737626,0.6,0.6208870603443148,True,True,True
16-102715,19-69736,combined,1,0.23738595979414667,1.0,0.6331581252737626,0.6,0.6013746172463921,True,True,True
16-102715,19-69736,combined,2,0.021041725060970823,1.0,0.6331581252737626,0.6,0.5256541350897804,True,True,True
