notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
21-51620,2021-04-18,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-60810,2021-05-05,Mairie de Coueron,mairie de coueron,NAME:mairie de coueron,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;49;53;56;72;85
21-69124,2021-05-23,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-66086,2021-05-17,Régie Dépt Passages d'Eau de Vendée,regie dept passages d eau de vendee,NAME:regie dept passages d eau de vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-62138,2021-05-07,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,NAME:conseil regional des pays de la loire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;85
21-60721,2021-05-05,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-71012,2021-05-27,Ville de Sablé sur Sarthe,ville de sable sur sarthe,NAME:ville de sable sur sarthe,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49;72
21-67011,2021-05-20,SYND DEP D ENERGIE ET D EQPT DE VENDEE,synd dep d energie et d eqpt de vendee,NAME:synd dep d energie et d eqpt de vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-69590,2021-05-25,Laval Agglomération,laval agglomeration,NAME:laval agglomeration,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,53
21-73723,2021-06-01,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,NAME:rectorat de l academie de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49
21-85842,2021-06-25,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-77546,2021-06-10,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-90254,2021-06-30,Communauté Communes Parthenay-Gâtine,communaute communes parthenay-gatine,NAME:communaute communes parthenay-gatine,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,16;17;79;85;86;87
21-77056,2021-06-07,DESTINATION RENNES Tourisme Congrès,destination rennes tourisme congres,NAME:destination rennes tourisme congres,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,22;29;35;44;56;67;69;72;91
21-78352,2021-06-09,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-86124,2021-06-23,SYDELA,sydela,NAME:sydela,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-83144,2021-06-19,CMAR Pays de La Loire,cmar pays de la loire,NAME:cmar pays de la loire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-88585,2021-06-30,ENSA Nantes,ensa nantes,NAME:ensa nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-80765,2021-06-14,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-85552,2021-06-22,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-84240,2021-06-18,ComCom des Vallées du Haut-Anjou,comcom des vallees du haut-anjou,NAME:comcom des vallees du haut-anjou,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-78393,2021-06-11,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-75719,2021-06-04,Ville d'Angers,ville d angers,NAME:ville d angers,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-76081,2021-06-04,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-76634,2021-06-07,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-76694,2021-06-07,CAISSE PRIMAIRE ASSUR MALADIE MAINE LO,caisse primaire assur maladie maine lo,NAME:caisse primaire assur maladie maine lo,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-102565,2021-07-24,Ville de Bouguenais,ville de bouguenais,NAME:ville de bouguenais,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-90937,2021-07-01,MAIRIE DE LA CHAPELLE SUR ERDRE,mairie de la chapelle sur erdre,NAME:mairie de la chapelle sur erdre,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-99793,2021-07-16,SGAMI OUEST,sgami ouest,NAME:sgami ouest,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,27;28;41;45;72;91
21-93999,2021-07-09,COMMUNE DE OMBREE D ANJOU,commune de ombree d anjou,NAME:commune de ombree d anjou,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;49;53
21-96114,2021-07-15,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-104861,2021-07-27,DESTINATION RENNES Tourisme Congrès,destination rennes tourisme congres,NAME:destination rennes tourisme congres,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,22;29;35;53;56;69;72;75;91
21-96769,2021-07-12,Ville de Sablé sur Sarthe,ville de sable sur sarthe,NAME:ville de sable sur sarthe,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49;72
21-93968,2021-07-07,Ville de Parthenay,ville de parthenay,NAME:ville de parthenay,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,16;17;79;85;86;87
