notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-53947,NAME:commune de saint-herblain,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,48,48220,DIGITAL_ICT,True,6.0,True,SIREN:214401622,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,6.603153745072273,15-164088,0.4126568101063979,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-04-14,2015-08-10,2016-02-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:caisse des depots,NAME_FALLBACK,LOW,0,134.95400788436268,,,,,balanced
15-54892,NAME:sdis 85,NAME_FALLBACK,2015-04-10,2015-07-20,2015-11-20,2026-07-13,32,32522,DIGITAL_ICT,True,4.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.08541392904073,,,,,balanced
15-65278,NAME:sna ouest,NAME_FALLBACK,2015-04-28,2015-04-28,2015-08-28,2026-07-13,34,34995,DIGITAL_ICT,True,4.0,True,NAME:sna ouest,NAME_FALLBACK,LOW,0,134.4940867279895,,,,,balanced
15-58971,NAME:cci de maine et loire,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:130004609,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.85545335085413,,,,,balanced
15-62309,NAME:ville d allonnes,NAME_FALLBACK,2015-04-22,2015-06-18,2015-12-18,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:ville d allonnes,NAME_FALLBACK,LOW,0,134.69119579500656,,,,,balanced
15-52664,SIRET:12000601000058,RAW_SIRET,2015-04-08,2015-04-08,2015-10-08,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,0,135.15111695137978,,,,,balanced
15-55213,NAME:ville du croisic,NAME_FALLBACK,2015-04-13,2015-04-13,2015-08-13,2026-07-13,32,32424,DIGITAL_ICT,True,4.0,True,NAME:ville du croisic,NAME_FALLBACK,LOW,0,134.9868593955322,,,,,balanced
15-55830,NAME:universite de nantes,NAME_FALLBACK,2015-04-13,2015-04-13,2015-10-13,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,SIREN:130029747,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.9868593955322,,,,,balanced
15-58989,NAME:ccir pays de la loire,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,48,48900,DIGITAL_ICT,True,6.0,True,NAME:ccir pays de la loire,NAME_FALLBACK,LOW,1,2.6609724047306176,15-105085,0.48299124194158877,MEDIUM,M0_NAME_FALLBACK,balanced
15-64904,NAME:sdis 85,NAME_FALLBACK,2015-04-28,2015-10-22,2016-04-22,2026-07-13,48,48450,DIGITAL_ICT,True,6.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.4940867279895,,,,,balanced
15-54712,NAME:ville de donges,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:ville de donges,NAME_FALLBACK,LOW,0,135.08541392904073,,,,,balanced
15-59425,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-04-20,2015-11-16,2016-04-16,2026-07-13,35,35120,DIGITAL_ICT,True,5.0,True,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,1,11.957950065703022,16-55322,0.34894631939696813,POTENTIAL,M0_NAME_FALLBACK,balanced
15-59556,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-04-20,2015-08-31,2016-01-31,2026-07-13,35,35113,DIGITAL_ICT,True,5.0,True,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,0,134.7568988173456,,,,,balanced
15-55407,NAME:nantes metropole,NAME_FALLBACK,2015-04-20,2015-12-14,2016-05-14,2026-07-13,79,79512,DIGITAL_ICT,True,5.0,True,NAME:nantes metropole,NAME_FALLBACK,LOW,1,12.02365308804205,16-57014,0.3930996601933959,MEDIUM,M0_NAME_FALLBACK,balanced
15-48967,NAME:centre hospitalier de laval,NAME_FALLBACK,2015-04-01,2015-04-01,2015-08-01,2026-07-13,50,50312,DIGITAL_ICT,True,4.0,True,NAME:centre hospitalier de laval,NAME_FALLBACK,LOW,0,135.38107752956637,,,,,balanced
15-49442,NAME:ville de saumur,NAME_FALLBACK,2015-04-09,2015-04-09,2015-10-09,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:ville de saumur,NAME_FALLBACK,LOW,1,5.650459921156373,15-91934,0.37537866779005696,MEDIUM,M0_NAME_FALLBACK,balanced
15-58224,NAME:ville d angers,NAME_FALLBACK,2015-04-16,2015-08-10,2016-01-10,2026-07-13,35,35125,DIGITAL_ICT,True,5.0,True,NAME:ville d angers,NAME_FALLBACK,LOW,0,134.88830486202366,,,,,balanced
15-31076,NAME:ville de la roche-sur-yon,NAME_FALLBACK,2015-04-01,2015-04-01,2015-09-01,2026-07-13,35,35110,DIGITAL_ICT,True,5.0,True,SIREN:218501914,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.38107752956637,,,,,balanced
15-64142,NAME:chu de nantes,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,48,48900,DIGITAL_ICT,True,6.0,True,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,6.5374507227332455,15-169809,0.5116739813998723,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
