source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
20-19626,20-118393,2020-02-07,2020-09-28,NAME:sdis de la sarthe,NAME_FALLBACK,7.687253613666228,2020-12-11,2.431011826544021,0.5948313622426631,0.3671873430321322,0.1,0.6,0.367223410621912,0.3333544331908967,0.3333544331908967,1,0.367223410621912,1,MEDIUM,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,77,9,,INITIAL,LEGACY,APPEL_OFFRE,149,19,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-27109,20-61130,2020-02-23,2020-05-08,NAME:ville de bouguenais,NAME_FALLBACK,2.463863337713535,2020-07-19,2.365308804204993,0.6057818659658345,1.0,1.0,0.6,0.8614454664914586,0.9028742414541592,0.9028742414541592,1,0.6259215624800785,2,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,86,14,,INITIAL,LEGACY,APPEL_OFFRE,86,14,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-29244,20-93913,2020-02-27,2020-07-25,NAME:commune de nantes,NAME_FALLBACK,4.894875164257556,2020-07-27,0.0657030223390276,0.9890494962768288,0.8246021910708939,1.0,0.6,0.8958731409440199,0.9511173998290734,0.9511173998290734,1,0.604284964385771,6,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,200,28,,INITIAL,LEGACY,APPEL_OFFRE,186,26,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-37796,21-16407,2020-03-12,2021-02-04,NAME:communaute d agglomeration du niortais,NAME_FALLBACK,10.808147174770038,2020-09-12,4.763469119579501,0.2060884800700831,0.3115226083880204,0.8,0.6,0.4605550329533279,0.8517808519104686,0.8517808519104686,1,0.0209322998564125,3,POTENTIAL,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,194,30,,INITIAL,LEGACY,APPEL_OFFRE,190,26,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-39206,20-74255,2020-03-16,2020-06-10,NAME:ctre hosp universitaire angers,NAME_FALLBACK,2.8252299605781865,2020-07-16,1.1826544021024967,0.8028909329829172,1.0,1.0,0.6,0.9107227332457292,0.9318754725822962,0.9318754725822962,1,0.1163491020586946,2,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,117,16,,INITIAL,LEGACY,APPEL_OFFRE,117,16,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-72791,21-126360,2020-06-07,2021-09-23,SIRET:88324710800011,RAW_SIRET,15.538764783180026,2021-04-10,5.45335085413929,0.0911081909767849,0.9999999999999998,1.0,1.0,0.7727770477441961,0.9387012066709548,0.9387012066709548,1,0.7727770477441961,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,103,16,,INITIAL,LEGACY,APPEL_OFFRE,103,16,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-96618,20-115241,2020-07-29,2020-09-23,NAME:ch le mans,NAME_FALLBACK,1.8396846254927728,2021-02-13,4.697766097240473,0.2170389837932544,0.5638167266698864,1.0,0.6,0.6115956002827738,0.8454261215284793,0.8454261215284793,1,0.1394847204890906,5,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,91,13,,INITIAL,LEGACY,APPEL_OFFRE,55,7,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-103501,21-156574,2021-07-23,2021-11-26,NAME:departement de la sarthe,NAME_FALLBACK,4.139290407358739,2022-01-23,1.9053876478318,0.6824353920280333,0.3198361347751099,1.0,0.6,0.6425514951782969,0.973914101533816,0.973914101533816,1,0.6425514951782969,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,100,14,,INITIAL,LEGACY,APPEL_OFFRE,138,19,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-104870,22-83349,2021-07-29,2022-06-16,SIRET:22530001100015,RAW_SIRET,10.578186596583445,2022-05-11,1.1826544021024967,0.8028909329829172,0.6128460635097774,1.0,1.0,0.8152188554741514,0.9208831855087114,0.9208831855087114,1,0.2043641331056634,9,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,150,19,,INITIAL,LEGACY,APPEL_OFFRE,103,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-117181,22-57715,2021-08-31,2022-04-22,NAME:satt ouest valorisation,NAME_FALLBACK,7.687253613666228,2022-02-28,1.7411300919842312,0.7098116513359615,0.6207670451588572,0.1,0.6,0.4847213786395903,0.5455669304779729,0.5455669304779729,1,0.4847213786395903,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,199,29,,INITIAL,LEGACY,APPEL_OFFRE,129,19,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-125738,21-161861,2021-09-20,2021-12-09,NAME:commune de saint nazaire,NAME_FALLBACK,2.628120893561104,2022-03-20,3.3180026281208934,0.4469995619798511,0.9321375392082408,1.0,0.6,0.797998029217847,0.970109136582594,0.970109136582594,1,0.797998029217847,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,87,13,,INITIAL,LEGACY,APPEL_OFFRE,107,15,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-130369,21-157863,2021-10-01,2021-12-02,NAME:commune de saint-herblain,NAME_FALLBACK,2.0367936925098555,2022-04-01,3.942181340341656,0.342969776609724,1.0,1.0,0.6,0.795742444152431,0.850644486769075,0.850644486769075,1,0.5197151959962335,2,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,123,16,,INITIAL,LEGACY,APPEL_OFFRE,123,16,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-148591,22-12003,2021-11-10,2022-01-26,NAME:laval agglomeration,NAME_FALLBACK,2.5295663600525624,2022-03-10,1.4126149802890933,0.7645641699518178,0.6788589799893974,1.0,0.6,0.7887416854842435,0.9662214594797502,0.9662214594797502,1,0.7887416854842435,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,93,15,,INITIAL,LEGACY,APPEL_OFFRE,136,20,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-148611,22-171933,2021-11-10,2023-01-01,SIRET:24720013200014,RAW_SIRET,13.699080157687254,2023-02-13,1.4126149802890933,0.7645641699518178,0.5777380990772488,1.0,1.0,0.7933493771649914,0.9143288089013576,0.9143288089013576,1,0.6103445589433533,4,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,64,8,,INITIAL,LEGACY,APPEL_OFFRE,67,9,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-17328,21-35440,2021-02-05,2021-03-17,NAME:universite d angers,NAME_FALLBACK,1.314060446780552,2021-07-16,3.975032851511169,0.3374945247481384,0.3835603862493899,1.0,0.6,0.5786197663743211,0.8547486811051255,0.8547486811051255,2,0.180164727712407,5,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,138,22,,INITIAL,LEGACY,APPEL_OFFRE,162,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
21-23645,21-51020,2021-02-19,2021-04-16,NAME:semitan,NAME_FALLBACK,1.8396846254927728,2021-08-19,4.106438896189225,0.3155935173017958,1.0,1.0,0.6,0.7888983793254489,0.8532482789497877,0.8532482789497877,1,0.4926918793790283,5,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,85,10,,INITIAL,LEGACY,APPEL_OFFRE,85,10,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
