source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,gradient_boosting_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
18-12739,18-19126,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,1.0,1.0,0.7314082347787998,0.4681307340646161,0.4411639036513639,INITIAL,RECTIFICATIF,,18-12739,27,27
18-127511,19-46630,False,TEXT_MIN,0.0217875011573195,0.8,0.3796799399035287,0.875769584720853,0.0587127380563928,INITIAL,INITIAL,,,17,28
18-127908,19-15392,False,TEXT_MIN,0.1401302145801737,1.0,0.6001866175910153,0.948949942144367,0.2387311134847847,INITIAL,INITIAL,,,27,21
18-128159,19-16942,True,,0.423334505078065,1.0,0.7034145581614664,0.949126556838705,0.3347833711268628,INITIAL,INITIAL,,,6,27
18-14081,18-52482,True,,1.0,1.0,0.719088918090232,0.435962138235435,0.719088918090232,INITIAL,INITIAL,,,15,15
18-142560,19-58204,True,,0.737038267506106,1.0,0.6859112692294147,0.9389059108900067,0.1132455052233698,INITIAL,INITIAL,,,12,27
18-144441,19-97500,False,TEXT_MIN,0.0281134723588158,1.0,0.4446316557548452,0.9162109377095918,0.2233565020224969,INITIAL,INITIAL,,,12,17
18-146989,19-103833,True,,0.3091851747063736,1.0,0.6169226517078965,0.6989681530727938,0.2741064388961892,INITIAL,INITIAL,,,12,15
18-149889,19-147530,True,,0.4368925419622643,1.0,0.5452711281887637,0.953625824713385,0.5452711281887637,INITIAL,INITIAL,,,5,8
18-150422,19-1779,False,TEXT_MIN,0.0,0.8,0.4421681997371879,0.6876420795382067,0.0515621658146848,INITIAL,INITIAL,,,12,7
18-165012,18-171623,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,1.0,1.0,0.8149058256679806,0.6640823450422331,0.4511905545917926,INITIAL,RECTIFICATIF,,18-165012,9,9
18-167367,18-173792,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9999999999999998,1.0,0.7300394218134034,0.6838441109417986,0.7300394218134034,INITIAL,RECTIFICATIF,,18-167367,30,30
