source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
15-75567,15-159244,False,TEXT_MIN,0.2673613902621611,1.0,0.6666185365260533,0.2364477886419017,INITIAL,INITIAL,,,26,21
15-76852,15-173700,False,TEXT_MIN,0.072685209431717,0.2,0.3913333844049117,0.0625910601994658,INITIAL,INITIAL,,,13,17
15-78916,16-72442,False,TEXT_MIN,0.1447018576641215,0.8,0.3515216904802962,0.0302498263118499,INITIAL,INITIAL,,,15,22
15-79099,15-185335,False,TEXT_MIN,0.0452043300113402,0.0,0.3466581339884194,0.0690062726995839,INITIAL,INITIAL,,,17,28
15-81386,16-42170,True,,0.9315141171740462,1.0,0.7758788240595365,0.5312282765777303,INITIAL,INITIAL,,,24,20
15-81652,16-7903,True,,0.3114676232682308,0.1,0.3792042069086639,0.0104259051686987,INITIAL,INITIAL,,,22,13
15-82604,16-40204,True,,0.5749275243277615,1.0,0.6168531924284264,0.2048843811343954,INITIAL,INITIAL,,,12,13
15-83632,15-92216,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9777097698947343,1.0,0.7195002153457675,0.3920639755627236,INITIAL,RECTIFICATIF,,15-83632,25,26
15-84820,16-57014,False,TEXT_MIN;INITIAL_SOURCE,0.2391239792904391,0.1,0.3908418815821399,0.0543350996271932,RECTIFICATIF,INITIAL,15-55407,,26,23
15-84881,16-103833,False,TEXT_MIN,0.2450031519179422,0.2,0.4160555271747839,0.0719599047814325,INITIAL,INITIAL,,,14,24
15-85320,15-194034,False,TEXT_MIN;INITIAL_SOURCE;INITIAL_CANDIDATE,0.086179815357621,1.0,0.6045737982748607,0.1700605102586397,RECTIFICATIF,RECTIFICATIF,15-83729,15-185335,4,29
15-85858,16-70203,False,TEXT_MIN,0.1597520037124367,1.0,0.6508562586799924,0.0279612538308151,INITIAL,INITIAL,,,31,8
15-86218,15-95253,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9824713989585664,1.0,0.7677064263415867,0.4551368822876582,INITIAL,RECTIFICATIF,,15-86218,24,25
15-86342,16-63741,False,TEXT_MIN,0.2282287432313073,1.0,0.667979052684615,0.3640634197521137,INITIAL,INITIAL,,,21,10
15-86544,16-15813,False,INITIAL_CANDIDATE,0.3574031309785025,0.0,0.4077148365345477,0.0024818532187623,INITIAL,RECTIFICATIF,,16-9809,18,14
15-89263,15-159973,True,,0.6188074004370833,0.0,0.4074958621634916,0.0172685576804775,INITIAL,INITIAL,,,23,25
15-89902,15-192356,False,TEXT_MIN,0.1592724164724253,0.1,0.3779507772151955,0.0351825866356819,INITIAL,INITIAL,,,19,18
15-90549,16-19705,True,,0.3473692545342032,0.0,0.3535569000593758,0.2231945679396354,INITIAL,INITIAL,,,15,26
15-91934,16-37530,False,TEXT_MIN,0.2053779003552414,0.4,0.4183846742351536,0.4183846742351536,INITIAL,INITIAL,,,6,12
15-96106,16-577,True,,0.3125343882744779,0.1,0.4028473950725894,0.0129625488108127,INITIAL,INITIAL,,,13,9
15-96870,15-174987,False,TEXT_MIN;INITIAL_CANDIDATE,0.0376112904268474,1.0,0.5725178719297295,0.0269964749940465,INITIAL,RECTIFICATIF,,15-165050,18,22
15-97256,15-190662,False,TEXT_MIN,0.0215249859915825,0.1,0.3434273062008646,0.0122767246781577,INITIAL,INITIAL,,,13,19
15-98729,15-170834,True,,0.5101290720675987,0.1,0.4583174047462175,0.1738392466053438,INITIAL,INITIAL,,,21,11
15-98976,15-194034,False,TEXT_MIN;INITIAL_CANDIDATE,0.0431918263272678,1.0,0.6237483262491474,0.3684411473633363,INITIAL,RECTIFICATIF,,15-185335,23,29
16-102238,16-114007,True,,0.8859639973088962,0.2,0.4569708856984991,0.4569708856984991,INITIAL,INITIAL,,,24,17
16-102715,16-155479,False,TEXT_MIN,0.2071459956549076,0.0,0.3619689039982715,0.0716411740097924,INITIAL,INITIAL,,,19,22
16-103088,17-6085,True,,0.8665608688405348,0.0,0.5656922743088171,0.0367938949833681,INITIAL,INITIAL,,,10,13
16-103802,17-15162,False,TEXT_MIN,0.0778510045373483,0.2,0.3726092182109365,0.0245102256572791,INITIAL,INITIAL,,,13,12
16-103833,17-68985,True,,0.3797078912919749,0.4,0.364419881969712,0.0705989338683462,INITIAL,INITIAL,,,24,12
16-106116,16-165866,True,,0.7543458816919576,0.1,0.5246299065991935,0.0827933522216617,INITIAL,INITIAL,,,12,13
16-107267,17-54834,True,,0.3561782868607575,0.0,0.4018108892317513,0.0230197403434239,INITIAL,INITIAL,,,16,15
16-10778,17-53475,False,TEXT_MIN,0.1589173434792267,0.2,0.3968759979444048,0.041259019585904,INITIAL,INITIAL,,,13,4
16-109275,17-46886,True,,0.6678379109059637,0.1,0.472451109377753,0.0957551828227146,INITIAL,INITIAL,,,28,19
16-114945,17-14986,False,TEXT_MIN,0.0324342535124635,0.2,0.3799831757639658,0.0677010907880569,INITIAL,INITIAL,,,12,13
16-118057,16-118029,True,,0.9999999999999998,1.0,0.7971112571178274,0.7971112571178274,INITIAL,INITIAL,,,16,16
16-119669,17-90968,True,,0.8211773870450615,1.0,0.7523179111337523,0.6073123906867625,INITIAL,INITIAL,,,10,10
16-123498,17-25915,False,TEXT_MIN,0.1872289743296681,1.0,0.6755301410153838,0.2059097676081949,INITIAL,INITIAL,,,17,23
16-123593,17-25692,False,TEXT_MIN,0.0200932640563062,0.1,0.3470326424197071,0.0492772667542706,INITIAL,INITIAL,,,16,12
16-124376,17-71849,False,TEXT_MIN,0.1437157458051361,0.8,0.5633425609660947,0.1384741935825379,INITIAL,INITIAL,,,30,13
16-125010,17-25692,False,TEXT_MIN,0.0234400694289687,0.1,0.3440975854039498,0.0148878768649935,INITIAL,INITIAL,,,10,12
16-127032,17-102039,False,TEXT_MIN,0.2637002151360447,0.2,0.4171242474395342,0.0048904320859227,INITIAL,INITIAL,,,23,29
16-127861,17-44864,True,,0.8797296996844911,1.0,0.7960810409692916,0.4715259199229225,INITIAL,INITIAL,,,12,15
16-128161,16-137769,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.952568457391816,0.1,0.4420695689351425,0.0800296385653779,INITIAL,RECTIFICATIF,,16-128161,15,18
16-128870,17-102482,False,TEXT_MIN;INITIAL_CANDIDATE,0.0252840751314014,0.2,0.3583172318150444,0.0205321944809461,INITIAL,RECTIFICATIF,,17-93666,19,13
16-132618,17-74632,False,TEXT_MIN,0.1224045520808627,0.1,0.3527277079895809,0.0176254270279717,INITIAL,INITIAL,,,28,19
16-134501,16-184210,False,TEXT_MIN,0.0359906990796684,1.0,0.5130917074461713,0.1896313482696491,INITIAL,INITIAL,,,20,9
16-135042,17-168569,False,TEXT_MIN,0.029383993139634,0.2,0.3474328864293581,0.031572764196904,INITIAL,INITIAL,,,11,19
16-136057,16-166758,False,TEXT_MIN,0.2193066575327019,1.0,0.5129180835311018,0.1863874686821803,INITIAL,INITIAL,,,15,9
16-136139,17-68186,True,,1.0,0.2,0.5283661848445028,0.0916280517628349,INITIAL,INITIAL,,,18,18
16-139147,18-8879,False,TEXT_MIN,0.1341674316015788,0.2,0.39505759361421,0.0422788621205925,INITIAL,INITIAL,,,12,6
16-139386,17-90968,False,TEXT_MIN,0.1670138249878411,0.0,0.367086025780348,0.0825171947684852,INITIAL,INITIAL,,,9,10
16-141250,16-177041,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF;MIN_TOKEN_COUNT,0.809085711725988,0.1,0.4370214358101842,0.4370214358101842,INITIAL,ANNULATION,,16-141250,2,3
16-142611,16-176618,False,TEXT_MIN;MIN_TOKEN_COUNT,0.0455999577960026,1.0,0.4740217460695996,0.1341356313083206,INITIAL,INITIAL,,,3,17
16-145577,17-51018,False,TEXT_MIN,0.1287905368739536,0.1,0.3782326230789017,0.124838642388981,INITIAL,INITIAL,,,18,17
16-148980,17-135696,False,TEXT_MIN,0.0083102067964082,0.4,0.400057061209229,0.1065603105496765,INITIAL,INITIAL,,,7,10
