source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
15-82604,16-40204,NAME_FALLBACK,NAME:ch le mans,2015-06-01,2016-03-22,9.69119579500657,2015-11-01,4.664914586070959,0.22251423565484,0.5749275243277615,1.0,0.6,0.6168531924284264,False,False,1,0.2048843811343954,5,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,81,12,,INITIAL,LEGACY,APPEL_OFFRE,85,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-89263,15-159973,NAME_FALLBACK,NAME:vendee eau,2015-06-12,2015-10-28,4.533508541392904,2016-01-23,2.8580814717477003,0.52365308804205,0.6188074004370833,0.0,0.6,0.4074958621634916,False,False,1,0.0172685576804775,3,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,149,23,,INITIAL,LEGACY,APPEL_OFFRE,143,25,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-90549,16-19705,NAME_FALLBACK,NAME:concarneau cornouaille agglomeration,2015-06-15,2016-02-10,7.884362680683311,2015-12-15,1.8725361366622864,0.687910643889619,0.3473692545342032,0.0,0.6,0.3535569000593758,False,False,1,0.2231945679396354,2,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,117,15,,INITIAL,LEGACY,APPEL_OFFRE,193,26,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-96106,16-577,NAME_FALLBACK,NAME:cnieg,2015-06-24,2016-01-04,6.3731931668856765,2016-02-07,1.1169513797634691,0.8138414367060884,0.3125343882744779,0.1,0.6,0.4028473950725894,True,False,1,0.0129625488108127,5,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,69,13,,INITIAL,LEGACY,APPEL_OFFRE,62,9,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-98729,15-170834,NAME_FALLBACK,NAME:spr pays de la loire,2015-06-26,2015-11-12,4.566360052562418,2015-12-26,1.445466491458607,0.7590889180902322,0.5101290720675987,0.1,0.6,0.4583174047462175,True,False,1,0.1738392466053438,4,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,148,21,,INITIAL,LEGACY,APPEL_OFFRE,87,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
16-102238,16-114007,NAME_FALLBACK,NAME:c s t b,2016-07-09,2016-07-30,0.6898817345597897,2017-01-09,5.354796320630749,0.1075339465615418,0.8859639973088962,0.2,0.6,0.4569708856984991,False,True,1,0.4569708856984991,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,170,24,,INITIAL,LEGACY,APPEL_OFFRE,132,17,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
16-103088,17-6085,RAW_SIRET,SIRET:24720013200014,2016-07-11,2017-01-15,6.176084099868594,2017-03-20,2.102496714848883,0.6495838808585195,0.8665608688405348,0.0,1.0,0.5656922743088171,False,False,1,0.0367938949833681,4,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,75,10,,INITIAL,LEGACY,APPEL_OFFRE,87,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
16-103833,17-68985,NAME_FALLBACK,NAME:nantes metropole,2016-07-13,2017-06-07,10.808147174770038,2017-01-13,4.763469119579501,0.2060884800700831,0.3797078912919749,0.4,0.6,0.364419881969712,False,False,1,0.0705989338683462,18,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,144,24,,INITIAL,LEGACY,APPEL_OFFRE,93,12,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
16-106116,16-165866,NAME_FALLBACK,NAME:ville d orvault,2016-07-13,2016-11-16,4.139290407358739,2017-01-13,1.9053876478318,0.6824353920280333,0.7543458816919576,0.1,0.6,0.5246299065991935,True,False,1,0.0827933522216617,8,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,91,12,,INITIAL,LEGACY,APPEL_OFFRE,93,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
16-107267,17-54834,NAME_FALLBACK,NAME:commune de saint-nazaire,2016-07-23,2017-04-22,8.968462549277266,2017-05-16,0.7884362680683311,0.8685939553219448,0.3561782868607575,0.0,0.6,0.4018108892317513,False,False,1,0.0230197403434239,8,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,96,16,,INITIAL,LEGACY,APPEL_OFFRE,104,15,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
