source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-141361,20-5957,3,0.3661977193436176,False,0.999999999999
15-141361,20-8845,4,0.3144247426519442,False,0.999999999999
15-141361,19-143955,5,0.3115028063859649,False,0.999999999999
15-141361,20-65753,6,0.2318328257486745,False,0.999999999999
15-141361,19-147943,7,0.2245559380524206,False,0.999999999999
15-141361,19-128681,8,0.1677172894168331,False,0.999999999999
15-141361,19-137030,9,0.1355743941670811,False,0.999999999999
15-142165,15-169682,1,0.2345740432792646,False,0.0008029664657731026
15-142860,15-164088,1,0.1825764761626856,False,0.0005210918058899212
15-144405,19-157248,1,0.3393222014619223,True,0.0009134834140501373
15-144617,19-120297,1,0.0888866453506819,False,0.0036311888424881787
15-145608,18-127661,1,0.2980737753544212,False,0.004121582964501319
15-145608,18-148384,2,0.2729277725181922,False,0.003864212182630628
15-145608,18-72093,3,0.1607093377650106,False,0.00333720469844011
15-145893,20-75569,1,0.2276522712808016,False,0.0010644932940069053
15-146024,19-6267,1,0.2901408499997656,False,0.003742106230707833
15-146024,19-54406,2,0.2135716955271814,False,0.0006503268351005409
15-146024,18-142560,3,0.2001171735997492,False,0.0037016586751792615
15-146024,19-58204,4,0.185687548502831,False,0.0033382066844502606
15-146024,18-130463,5,0.17754391478337,False,0.003296849479190368
15-146824,16-9312,1,0.3549732632095645,True,0.0004907097973770762
15-147732,16-78789,1,0.3916994047280253,True,0.0022610133163610707
15-147732,16-7903,2,0.3033232543279573,False,0.0006191716451129767
15-147732,16-8523,3,0.2703059410255223,False,0.0004663218685721903
15-153604,16-79410,1,0.2807525725734592,False,0.0004624923980249569
15-153858,16-151274,1,0.2553302612960277,False,0.00320331156633584
15-153858,16-92101,2,0.2292400350416119,False,0.01372073351520314
15-153858,16-68672,3,0.2228208410366929,False,0.0004673518194232251
15-153858,17-19962,4,0.1407883166095144,False,0.005575000711926807
15-154566,20-4011,1,0.4352998797475963,True,0.0014413425281655829
15-154566,20-6485,2,0.3873529161394238,False,0.0007095574136604138
15-154566,20-64610,3,0.2690095315379694,False,0.0007551492492749993
15-155719,18-158087,1,0.7961032036377926,True,0.999999999999
15-155719,18-108773,2,0.3276586764290276,False,0.0009666631703350243
15-155719,18-96257,3,0.2425881207369669,False,0.004531517502146923
15-159244,19-151382,1,0.6710701497771914,True,0.999999999999
15-159244,20-11000,2,0.5167696592141751,False,0.999999999999
15-159244,19-92498,3,0.4746907050476862,False,0.999999999999
15-159244,19-105083,4,0.4717726752612501,False,0.999999999999
15-159244,19-67059,5,0.4108400244661466,False,0.999999999999
15-159244,19-158679,6,0.3599132181258346,False,0.0004809359025607397
15-159244,19-156899,7,0.341031271247233,False,0.0035435864472385856
15-159244,19-189603,8,0.31935791197211,False,0.006693663176741112
15-159244,19-123920,9,0.2957374729786012,False,0.0006248017422892048
15-159244,19-189628,10,0.2680452892725514,False,0.0005014892171027841
15-159244,20-21049,11,0.2371897380627897,False,0.0005733595151497385
15-159244,19-119269,12,0.2360406921385458,False,0.0034915830354999822
15-159244,19-191665,13,0.2269535494049304,False,0.0037629659397686033
