candidate_notice_id,times_selected,buyer_match_mechanism
20-25157,2,HISTORICAL_ALIAS_RECONCILIATION
21-24011,1,M0_NAME_FALLBACK
21-13248,1,HISTORICAL_ALIAS_RECONCILIATION
22-41246,1,HISTORICAL_ALIAS_RECONCILIATION
25-4360,1,SAME_SIREN_RECONCILIATION
23-104062,1,HISTORICAL_ALIAS_RECONCILIATION
24-67770,1,HISTORICAL_ALIAS_RECONCILIATION
24-67295,1,SAME_SIREN_RECONCILIATION
21-21301,1,M0_NAME_FALLBACK
23-134735,1,EXACT_SIRET_RECONCILIATION
20-135282,1,HISTORICAL_ALIAS_RECONCILIATION
20-93913,1,HISTORICAL_ALIAS_RECONCILIATION
20-59788,1,HISTORICAL_ALIAS_RECONCILIATION
25-24896,1,HISTORICAL_ALIAS_RECONCILIATION
16-49246,1,M0_NAME_FALLBACK
16-68875,1,M0_NAME_FALLBACK
24-42667,1,HISTORICAL_ALIAS_RECONCILIATION
26-41056,1,HISTORICAL_ALIAS_RECONCILIATION
19-169855,1,HISTORICAL_ALIAS_RECONCILIATION
25-98193,1,HISTORICAL_ALIAS_RECONCILIATION
23-117420,1,EXACT_SIRET_RECONCILIATION
25-141997,1,HISTORICAL_ALIAS_RECONCILIATION
19-165120,1,HISTORICAL_ALIAS_RECONCILIATION
21-147552,1,M0_NAME_FALLBACK
19-191665,1,M0_NAME_FALLBACK
25-45593,1,M0_NAME_FALLBACK
23-66104,1,EXACT_SIRET_RECONCILIATION
21-161861,1,M0_NAME_FALLBACK
16-35152,1,HISTORICAL_ALIAS_RECONCILIATION
16-55859,1,M0_NAME_FALLBACK
22-30678,1,HISTORICAL_ALIAS_RECONCILIATION
20-115241,1,HISTORICAL_ALIAS_RECONCILIATION
23-140453,1,HISTORICAL_ALIAS_RECONCILIATION
20-8845,1,HISTORICAL_ALIAS_RECONCILIATION
16-80474,1,M0_NAME_FALLBACK
25-73811,1,HISTORICAL_ALIAS_RECONCILIATION
16-73319,1,M0_NAME_FALLBACK
19-105083,1,M0_NAME_FALLBACK
24-77664,1,HISTORICAL_ALIAS_RECONCILIATION
17-48717,1,HISTORICAL_ALIAS_RECONCILIATION
24-34987,1,M0_NAME_FALLBACK
22-163372,1,EXACT_SIRET_RECONCILIATION
19-102776,1,HISTORICAL_ALIAS_RECONCILIATION
20-131075,1,M0_NAME_FALLBACK
25-33226,1,HISTORICAL_ALIAS_RECONCILIATION
23-90092,1,HISTORICAL_ALIAS_RECONCILIATION
23-105797,1,HISTORICAL_ALIAS_RECONCILIATION
19-110681,1,M0_NAME_FALLBACK
19-118070,1,M0_NAME_FALLBACK
15-126736,1,M0_NAME_FALLBACK
23-70292,1,HISTORICAL_ALIAS_RECONCILIATION
23-90833,1,EXACT_SIRET_RECONCILIATION
23-42778,1,HISTORICAL_ALIAS_RECONCILIATION
23-106736,1,HISTORICAL_ALIAS_RECONCILIATION
22-153504,1,M0_NAME_FALLBACK
20-27109,1,M0_NAME_FALLBACK
22-68207,1,M0_NAME_FALLBACK
16-7903,1,M0_NAME_FALLBACK
19-158679,1,M0_NAME_FALLBACK
23-40733,1,HISTORICAL_ALIAS_RECONCILIATION
19-54274,1,HISTORICAL_ALIAS_RECONCILIATION
23-6460,1,EXACT_SIRET_RECONCILIATION
23-101411,1,HISTORICAL_ALIAS_RECONCILIATION
15-167650,1,M0_NAME_FALLBACK
24-30786,1,HISTORICAL_ALIAS_RECONCILIATION
20-46786,1,HISTORICAL_ALIAS_RECONCILIATION
20-42809,1,HISTORICAL_ALIAS_RECONCILIATION
21-117209,1,HISTORICAL_ALIAS_RECONCILIATION
16-49315,1,M0_NAME_FALLBACK
23-48831,1,HISTORICAL_ALIAS_RECONCILIATION
20-70773,1,HISTORICAL_ALIAS_RECONCILIATION
15-91934,1,M0_NAME_FALLBACK
15-169809,1,HISTORICAL_ALIAS_RECONCILIATION
23-83529,1,EXACT_SIRET_RECONCILIATION
23-6398,1,HISTORICAL_ALIAS_RECONCILIATION
18-128642,1,HISTORICAL_ALIAS_RECONCILIATION
19-43671,1,HISTORICAL_ALIAS_RECONCILIATION
25-114696,1,HISTORICAL_ALIAS_RECONCILIATION
18-27688,1,M0_NAME_FALLBACK
23-160919,1,HISTORICAL_ALIAS_RECONCILIATION
19-103125,1,M0_NAME_FALLBACK
24-130324,1,EXACT_SIRET_RECONCILIATION
22-19299,1,M0_NAME_FALLBACK
19-85688,1,HISTORICAL_ALIAS_RECONCILIATION
24-117582,1,HISTORICAL_ALIAS_RECONCILIATION
16-136139,1,HISTORICAL_ALIAS_RECONCILIATION
24-132338,1,HISTORICAL_ALIAS_RECONCILIATION
19-75460,1,HISTORICAL_ALIAS_RECONCILIATION
24-127156,1,HISTORICAL_ALIAS_RECONCILIATION
17-48667,1,HISTORICAL_ALIAS_RECONCILIATION
25-22758,1,SAME_SIREN_RECONCILIATION
24-74174,1,EXACT_SIRET_RECONCILIATION
25-21094,1,EXACT_SIRET_RECONCILIATION
18-25585,1,HISTORICAL_ALIAS_RECONCILIATION
24-67023,1,EXACT_SIRET_RECONCILIATION
