nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
Grand Besançon,www.marches-grandbesancon.fr,,2018-04-07,0,11730,Grand Besançon,grand besancon,2018-04-07,False,www.marches-grandbesancon.fr,marches-grandbesancon.fr,marches-grandbesancon.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,marches.granbesancon.fr,,2017-02-24,0,11731,Grand Besançon,grand besancon,2017-02-24,False,marches.granbesancon.fr,marches.granbesancon.fr,granbesancon.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,www.marchegrandbesancon.fr,,2015-11-20,0,11732,Grand Besançon,grand besancon,2015-11-20,False,www.marchegrandbesancon.fr,marchegrandbesancon.fr,marchegrandbesancon.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon Habitat,www.marches-securises.fr,,2020-07-29,1,11733,Grand Besançon Habitat,grand besancon habitat,2020-07-29,True,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon Métropole,www.marches-securises.fr,,2020-10-22,1,11734,Grand Besançon Métropole,grand besancon metropole,2020-10-22,True,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon Métropole,www.marches.grandbesancon.fr,,2020-07-22,0,11735,Grand Besançon Métropole,grand besancon metropole,2020-07-22,False,www.marches.grandbesancon.fr,marches.grandbesancon.fr,grandbesancon.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Cognac,www.marches-publics.info,www.marches-publics.info,2020-05-20,1,11736,Grand Cognac,grand cognac,2020-05-20,True,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Cubzaguais Cnés de Communes,demat-ampa.fr,,2020-04-08,1,11737,Grand Cubzaguais Cnés de Communes,grand cubzaguais cnes de communes,2020-04-08,True,demat-ampa.fr,demat-ampa.fr,demat-ampa.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Cubzaguais Comm. de Communes,demat-ampa.fr,demat-ampa.fr,2020-08-06,1,11738,Grand Cubzaguais Comm. de Communes,grand cubzaguais comm de communes,2020-08-06,True,demat-ampa.fr,demat-ampa.fr,demat-ampa.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,demat-ampa.fr,demat-ampa.fr,demat-ampa.fr,,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Evreux Agglomération,marchespublics.cg27.fr,marchespublics.cg27.fr,2016-12-17,1,11739,Grand Evreux Agglomération,grand evreux agglomeration,2016-12-17,True,marchespublics.cg27.fr,marchespublics.cg27.fr,cg27.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,marchespublics.cg27.fr,marchespublics.cg27.fr,cg27.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Evreux Agglomération,www.marchespublics.cg27.fr,www.marchespublics.cg27.fr,2016-10-29,0,11740,Grand Evreux Agglomération,grand evreux agglomeration,2016-10-29,False,www.marchespublics.cg27.fr,marchespublics.cg27.fr,cg27.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,www.marchespublics.cg27.fr,marchespublics.cg27.fr,cg27.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Lyon Habitat,www.grandlyonhabitat.fr,,2019-04-05,1,11741,Grand Lyon Habitat,grand lyon habitat,2019-04-05,True,www.grandlyonhabitat.fr,grandlyonhabitat.fr,grandlyonhabitat.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Montauban - Agglomération,montauban.marcoweb.fr,,2018-03-08,1,11742,Grand Montauban - Agglomération,grand montauban - agglomeration,2018-03-08,True,montauban.marcoweb.fr,montauban.marcoweb.fr,marcoweb.fr,montauban,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Montauban - Agglomération,www.montauban.com,,2016-01-07,0,11743,Grand Montauban - Agglomération,grand montauban - agglomeration,2016-01-07,False,www.montauban.com,montauban.com,montauban.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Montauban Communauté d'agglo,www.montauban.com,www.montauban.com,2020-12-05,1,11744,Grand Montauban Communauté d'agglo,grand montauban communaute d agglo,2020-12-05,True,www.montauban.com,montauban.com,montauban.com,,True,False,False,OK_WITH_WARNING,missing_protocol,www.montauban.com,montauban.com,montauban.com,,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Paris Aménagement,www.achatpublic.com,www.achatpublic.com,2020-12-25,1,11745,Grand Paris Aménagement,grand paris amenagement,2020-12-25,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol
