source_notice_id,publication_year,cpv_division,buyer_key,buyer_key_type,duration_status,buyer_publication_frequency,n_later_same_buyer_sources,n_later_same_buyer_in_temporal_window,n_scored_candidates,best_score,second_best_score,score_margin,source_has_only_one_candidate,selected_candidate_notice_id,selected_candidate_multiplicity,zero_candidate_cause
19-23754,2019,32,NAME:b r g m,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
19-114079,2019,72,NAME:baie de somme habitat,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
22-123214,2022,38,NAME:bibliotheque nationale de france,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
18-129941,2018,72,NAME:bretagne developpement innovation,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
15-139562,2015,48,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,imputed,3,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
15-192825,2015,48,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,imputed,3,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-146809,2016,48,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,imputed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
15-179034,2015,35,NAME:c h s de la sarthe,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
16-102238,2016,72,NAME:c s t b,NAME_FALLBACK,imputed,3,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-114007,2016,72,NAME:c s t b,NAME_FALLBACK,imputed,3,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
24-75543,2024,45,NAME:c s t b,NAME_FALLBACK,observed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
20-155373,2020,,NAME:ca agglomeration du choletais,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
21-126092,2021,72,NAME:ca les sables d olonne agglomeration,NAME_FALLBACK,imputed,2,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
23-114065,2023,66,NAME:ca les sables d olonne agglomeration,NAME_FALLBACK,imputed,2,0,0,0,,,,False,,0,no_later_same_buyer_notice
17-133233,2017,,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,imputed,5,4,1,1,0.2540883624929168,,0.2540883624929168,True,18-4239,1,has_candidates
18-4239,2018,35,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,imputed,5,3,1,1,0.1125519918570613,,0.1125519918570613,True,21-139944,1,has_candidates
20-51119,2020,,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,imputed,5,2,1,1,0.3881366763331693,,0.3881366763331693,True,20-135282,1,has_candidates
20-135282,2020,48,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,imputed,5,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-139944,2021,30,NAME:ca pornic agglo pays de retz,NAME_FALLBACK,imputed,5,0,0,0,,,,False,,0,no_later_same_buyer_notice
18-106276,2018,30,NAME:ca saumur val de loire,NAME_FALLBACK,imputed,3,2,2,2,0.1916981297985142,0.0914735880558808,0.1002245417426334,False,20-119807,1,has_candidates
20-119807,2020,32,NAME:ca saumur val de loire,NAME_FALLBACK,imputed,3,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-93672,2021,32,NAME:ca saumur val de loire,NAME_FALLBACK,imputed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
15-101283,2015,30,NAME:caf de la sarthe,NAME_FALLBACK,imputed,3,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-102267,2016,30,NAME:caf de la sarthe,NAME_FALLBACK,imputed,3,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
20-89169,2020,30,NAME:caf de la sarthe,NAME_FALLBACK,imputed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
16-56502,2016,72,NAME:caf de la somme,NAME_FALLBACK,imputed,2,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-173647,2016,72,NAME:caf de la somme,NAME_FALLBACK,imputed,2,0,0,0,,,,False,,0,no_later_same_buyer_notice
19-70724,2019,44,NAME:caisse allocations familiales morbihan,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
24-27664,2024,,NAME:caisse d allocations familiales de loire-atlantique 22 rue de malville 44937 nantes cedex 9,NAME_FALLBACK,observed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
24-103072,2024,32,NAME:caisse d assurance maladie du val d oise,NAME_FALLBACK,observed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
