validation_case_id,validation_stratum,source_notice_id,candidate_notice_id,source_publication_date,candidate_publication_date,time_gap_months,source_buyer_key_type,candidate_buyer_key_type,source_buyer_name_normalized,candidate_buyer_name_normalized,source_cpv,candidate_cpv,source_cpv_division,candidate_cpv_division,source_object,candidate_object,source_boamp_url,candidate_boamp_url,reviewer_label,reviewer_confidence,buyer_identity_confidence,evidence_category,likely_error_mechanism,external_evidence_consulted,ai_assisted_summary_used,short_justification
VAL-0043,accepted_low_margin_m0,22-69242,26-56462,2022-05-14 00:00:00,2026-06-10 00:00:00,48.88304862023653,RAW_SIRET,RAW_SIRET,nantes metropole,nantes metropole,48000000,nan,48,nan,acquisition d'un outil socle de gestion des contacts et d'evenements,"Maintenance et extension du parc de logiciel QlikSense et prestations associées pour le groupement de commandes informatiques Nantes Métropole, ville de Nantes et son CCAS",,,,,,,,,,
VAL-0044,accepted_low_margin_m0,16-26598,20-25157,2016-02-23 00:00:00,2020-02-18 00:00:00,47.83180026281209,NAME_FALLBACK,NAME_FALLBACK,departement de la sarthe,departement de la sarthe,48780000,72220000,48,72,"Acquisition, mise en oeuvre et maintenance du système d'information archivistique des archives départementales de La Sarthe",ASSISTANCE A MAITRISE D'OUVRAGE RELATIVE À L'ACCOMPAGNEMENT À LA TRANSFORMATION NUMERIQUE DU DEPARTEMENT DE LA SARTHE,,,,,,,,,,
VAL-0045,accepted_low_margin_m0,21-57207,25-30282,2021-04-30 00:00:00,2025-03-19 00:00:00,46.61629434954008,RAW_SIRET,RAW_SIRET,conseil regional des pays de la loire,region des pays de la loire,35111300,nan,35,nan,CREPS NETTOYAGE DE FIN DE CHANTIER ET EXTINCTEURS ET SIGNALETIQUE DE SECURITE INCENDIE,"Conservation matérielle d'archives intermédiaires sur support papier et classement d'archives sur support papier, numérisation patrimoniale et traitement numérique d'archives historiques",,,,,,,,,,
VAL-0046,accepted_low_margin_m0,16-96174,20-138135,2016-06-30 00:00:00,2020-11-12 00:00:00,52.43101182654402,RAW_SIRET,RAW_SIRET,conseil regional des pays de la loire,conseil regional des pays de la loire,48810000,32543000,48,32,SYSTEMES D'INFORMATION POUR LES LYCEES PUBLICS ET E.R.E.A DE LA REGION DES PAYS DE LA LOIRE,Fourniture et maintenance des autocommutateurs pour les lycées publics et les Etablissements régionaux d'enseignement adapté (E.R.E.A.) de la Région des Pays de la Loire,,,,,,,,,,
VAL-0047,accepted_low_margin_m0,18-31687,22-84327,2018-03-08 00:00:00,2022-06-18 00:00:00,51.34691195795006,NAME_FALLBACK,NAME_FALLBACK,conseil regional des pays de la loire,conseil regional des pays de la loire,48900000,30230000,48,30,Mise en place et maintenance d'un systeme d'information géographique (SIG) pour les services de la Région des Pays de la Loire,Achat de petits matériels et consommables informatiques et téléphoniques pour les services de la Région des Pays de la Loire,,,,,,,,,,
VAL-0048,accepted_low_margin_m0,17-93952,22-95027,2017-07-05 00:00:00,2022-07-09 00:00:00,60.11826544021024,NAME_FALLBACK,NAME_FALLBACK,gie sesam vitale,gie sesam vitale,72212900,72000000,72,72,Assistance technique réalisation,Assistance Technique Relations Industriels,,,,,,,,,,
VAL-0049,accepted_low_margin_m0,17-34018,17-120212,2017-03-10 00:00:00,2017-08-25 00:00:00,5.519053876478318,NAME_FALLBACK,NAME_FALLBACK,conseil regional des pays de la loire,conseil regional des pays de la loire,nan,72000000,nan,72,"Sur le site test du lycée MICHELET de Nantes, réalisation d'un relevé topo et bâtiments, d'une modélisation BIM 3D, et de l'intégration des maquettes numériques",Réalisation d'une application de signalement pour les usagers du TER,,,,,,,,,,
VAL-0050,accepted_low_margin_m0,17-62129,21-35651,2017-05-04 00:00:00,2021-03-19 00:00:00,46.484888304862025,NAME_FALLBACK,NAME_FALLBACK,conseil regional des pays de la loire,conseil regional des pays de la loire,72224000,72246000,72,72,Assistance à maîtrise d'ouvrage pour accompagner la gestion dématérialisée de l'offre régionale de formation professionnelle - Région Formation,Accompagnement pour l'exécution du schéma directeur numérique de la Région des Pays de la Loire,,,,,,,,,,
VAL-0051,accepted_low_margin_m0,22-105384,24-74022,2022-07-30 00:00:00,2024-06-26 00:00:00,22.89750328515112,RAW_SIRET,RAW_SIRET,le mans metropole - communaute urbaine,le mans metropole,39300000,nan,39,nan,Acquisition de matériels informatiques et techniques pour la Setram,Acquisition de matériels divers et informatiques pour la SETRAM - durée 4 ans,,,,,,,,,,
VAL-0052,accepted_low_margin_m0,19-158679,20-54283,2019-10-18 00:00:00,2020-04-23 00:00:00,6.176084099868594,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,nan,72250000,nan,72,acquisition d'une solution logicielle de gestion des clauses sociales dans les marchés publics,mise à jour et acquisition de licences autocad et produits dérivés,,,,,,,,,,
VAL-0053,accepted_low_margin_m0,19-189628,20-66643,2019-12-20 00:00:00,2020-05-22 00:00:00,5.059132720105125,NAME_FALLBACK,NAME_FALLBACK,nantes metropole,nantes metropole,nan,72250000,nan,72,"maintenance, hébergement et évolution de la solution logicielle local trust mpe de dématérialisation des marchés publics","maintenance, l'hébergement et les évolutions du logiciel e-venement de gestion de la billetterie des établissements culturels de nantes métropole et de la ville de nantes et prestations associées.",,,,,,,,,,
