domain_normalized,registered_domain,observation_count,distinct_profile_buyer_names,dominant_buyer_normalized,dominant_buyer_share,buyer_entropy,domain_specificity
sdis53.e-marchespublics.com,e-marchespublics.com,16,1,sdis de la mayenne,1.0,-0.0,GENERIC_PLATFORM
wwww.marches-publics.gouv.fr,marches-publics.gouv.fr,15,14,etablissement francais du sang,0.13333333333333333,3.773557262275185,GENERIC_PLATFORM
lasoderec.com,lasoderec.com,15,13,centre de gestion de la fpt 76,0.13333333333333333,3.6402239289418516,AMBIGUOUS
cnaf.achatpublic.com,achatpublic.com,15,12,caf de la sarthe,0.2,3.456564762130953,GENERIC_PLATFORM
marchespublics.intermed-portail.net,intermed-portail.net,15,7,centre hospitalier de denain,0.26666666666666666,2.656564762130954,AMBIGUOUS
pays-ancenis.com,pays-ancenis.com,15,2,cte de cnes du pays d ancenis,0.8666666666666667,0.5665095065529053,HIGHLY_CONCENTRATED
elegia.achatpublic.com,achatpublic.com,14,13,symbhi,0.14285714285714285,3.6644977792004623,GENERIC_PLATFORM
emarchespublics.com,emarchespublics.com,14,13,r t a,0.14285714285714285,3.6644977792004623,AMBIGUOUS
ok.marchespublicsaffiches.com,marchespublicsaffiches.com,14,13,sedi,0.14285714285714285,3.6644977792004623,AMBIGUOUS
midilibre-legales.com,midilibre-legales.com,14,12,communaute de communes conflent canigo,0.14285714285714285,3.521640636343319,AMBIGUOUS
mp.beauvaisis.fr,beauvaisis.fr,14,10,centre communal d action sociale,0.2857142857142857,3.09306920777189,AMBIGUOUS
groupe-ada.com,groupe-ada.com,14,9,communaute de communes pays flechois,0.14285714285714285,3.0930692077718893,AMBIGUOUS
marches.gers.fr,gers.fr,14,9,commune de condom,0.21428571428571427,3.039148671903071,AMBIGUOUS
paysviennois.marcoweb.fr,marcoweb.fr,14,9,cte d agglomeration du pays viennois,0.2857142857142857,2.950212064914747,AMBIGUOUS
vvachat.achatpublic.com,achatpublic.com,14,9,vichy val d allier - cte d agglo,0.21428571428571427,3.039148671903071,GENERIC_PLATFORM
webmarche.solaere.recia.fr,recia.fr,14,9,ville de fondettes,0.21428571428571427,3.039148671903071,AMBIGUOUS
antilles-legales.fr,antilles-legales.fr,14,5,icade promotion,0.2857142857142857,2.217021885879718,AMBIGUOUS
marches.local-tust.com,local-tust.com,14,2,communaute urbaine d alencon,0.5714285714285714,0.9852281360342515,SHARED_INSTITUTIONAL
marches-haute-marne.fr,marches-haute-marne.fr,13,13,agglomeration st-dizier der et blaise,0.07692307692307693,3.7004397181410926,AMBIGUOUS
marches-idf-centre.fr,marches-idf-centre.fr,13,13,bourges plus,0.07692307692307693,3.7004397181410926,AMBIGUOUS
e-marcheslorraine.fr,e-marcheslorraine.fr,13,11,mairie,0.23076923076923078,3.334679141051595,AMBIGUOUS
marchespublics.cnfpt.fr,cnfpt.fr,13,10,cnfpt,0.23076923076923078,3.180832987205441,AMBIGUOUS
marchespublics.auvergnerhonealpes.eu,auvergnerhonealpes.eu,13,8,region rhone-alpes,0.3076923076923077,2.7773627950641693,AMBIGUOUS
