source_notice_id,publication_date,publication_year,cpv_division,buyer_key,buyer_key_type,buyer_key_provenance,duration_months,duration_imputation_status,estimated_end_date,observable_followup_months,buyer_publication_frequency,later_same_buyer_notice_count,later_same_buyer_in_m0_window_count,m0_candidate_count,m0_best_candidate_notice_id,m0_best_score,m0_second_best_score,m0_score_margin,m0_accepted,m0_selected_candidate_notice_id,m0_selected_candidate_reuse_count,m1_candidate_count,m1_accepted,m1_selected_candidate_notice_id,m1_selected_candidate_reuse_count,m1_buyer_match_mechanism,profile_audited_link_present,profile_evidence_status,primary_linkage_status_reason,secondary_diagnostic_flags
15-174987,2015-11-18,2015,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-11-18,127.79237844940867,61,55,8,8,19-136955,0.8097214671190311,0.3571602871873393,0.4525611799316918,True,19-136955,3,8,True,19-136955,4,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1;selected_candidate_reused
16-5277,2016-01-13,2016,71,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2019-08-20,125.9526938239159,61,54,8,8,19-136955,0.2862397784066974,0.227652683678639,0.0585870947280583,False,,0,8,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates
16-45870,2016-03-30,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-03-30,123.42312746386334,61,53,9,9,19-127477,0.4666629522650822,0.3601184808234157,0.1065444714416665,True,19-127477,3,9,True,19-127477,3,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1;selected_candidate_reused
16-47825,2016-03-31,2016,,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2016-09-30,123.39027595269381,61,52,11,11,16-168154,0.2793648823930015,0.2414761614794474,0.0378887209135541,False,,0,11,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
16-57562,2016-04-25,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-04-25,122.56898817345598,61,51,9,9,19-127477,0.4317903295191623,0.3980360429243444,0.0337542865948178,True,19-127477,3,9,True,19-127477,3,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1;selected_candidate_reused
16-62950,2016-05-02,2016,71,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2019-05-02,122.33902759526937,61,50,8,8,19-47186,0.2978847187871077,0.2650358078947569,0.0328489108923508,False,,0,8,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
16-70307,2016-05-17,2016,,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2016-11-17,121.84625492772668,61,48,7,7,16-168154,0.3361767239929404,0.3026586359710855,0.0335180880218548,True,16-168154,1,7,True,16-168154,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1
16-70219,2016-05-17,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-05-17,121.84625492772668,61,48,7,7,20-66280,0.4433390428765084,0.4249947285616148,0.0183443143148935,True,20-66280,1,7,True,20-66280,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1
16-81907,2016-06-08,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-12-15,121.12352168199736,61,47,2,2,21-74412,0.1946863094294188,0.1112829519708914,0.0834033574585274,False,,0,2,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates
16-100426,2016-07-07,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-12-21,120.17082785808147,61,46,2,2,21-74412,0.1965217984244942,0.1071495660851795,0.0893722323393146,False,,0,2,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates
