profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
94,profile,AGCE DE DVLPT ET RESERV TOURISTIQUES,agce de dvlpt et reserv touristiques,www.oisetourisme.com,oisetourisme.com,oisetourisme.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-04-11,True
95,profile,AGCE DE L ENVIR ET DE MAITRISE ENERGIE,agce de l envir et de maitrise energie,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-09-19,True
96,profile,AGCE DU NUMERIQUE DE LA SECURITE CIV,agce du numerique de la securite civ,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-07-26,True
97,profile,AGCE GEST RECOUVREMENT AVOIRS SAISIS C,agce gest recouvrement avoirs saisis c,www.justice.gouv.fr,justice.gouv.fr,justice.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-04-16,True
98,profile,AGCE NAL DE SECU MEDICAMENT PROD SANTE,agce nal de secu medicament prod sante,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-10-07,True
99,profile,AGCE NAL DE SECU MEDICAMENT PROD SANTE,agce nal de secu medicament prod sante,marchespublics.gouv.fr,marchespublics.gouv.fr,marchespublics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-09-14,False
100,profile,AGCE NAL DE SECU MEDICAMENT PROD SANTE,agce nal de secu medicament prod sante,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-09-09,False
101,profile,AGCE NATIONALE DE CONTROLE DU LOGT SOC,agce nationale de controle du logt soc,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-08-04,True
102,profile,AGCE PUB POUR L IMMOB DE LA JUSTICE,agce pub pour l immob de la justice,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-26,True
103,profile,AGCE REG SANTE NORD PAS CALAIS PICARDI,agce reg sante nord pas calais picardi,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-03,True
104,profile,AGCE URBANI BORDEAUX METROPOLE AQUIT,agce urbani bordeaux metropole aquit,www.aurba.org,aurba.org,aurba.org,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-09-05,True
105,profile,AGEFA PME GROUPE,agefa pme groupe,agefa.e-marchespublics.com,agefa.e-marchespublics.com,e-marchespublics.com,agefa,True,False,False,OK_WITH_WARNING,missing_protocol,2015-07-02,True
106,profile,AGEFIPH,agefiph,marches.agefiph.fr,marches.agefiph.fr,agefiph.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-14,True
