domain_normalized,registered_domain,subdomain,observation_count,profile_observation_count,participation_observation_count,distinct_raw_buyer_names,distinct_profile_buyer_names,distinct_current_m1_buyer_keys,distinct_validated_sirens_after_m1_name_join,distinct_sirets_after_m1_name_join,distinct_departments_after_m1_name_join,first_observation_date,last_observation_date,dominant_buyer_normalized,dominant_buyer_count,dominant_buyer_share,buyer_entropy,malformed_observation_count,domain_specificity
marches.quaibranly.fr,quaibranly.fr,marches,1,1,0,1,1,0,0,0,0,2017-11-17,2017-11-17,etablissement public,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.rvv.org,rvv.org,marches,1,1,0,1,1,0,0,0,0,2016-06-15,2016-06-15,ville de valenciennes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.rvvn.fr,rvvn.fr,marches,1,1,0,1,1,0,0,0,0,2015-04-28,2015-04-28,ville de valenciennes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.securise.fr,securise.fr,marches,1,1,0,1,1,0,0,0,0,2016-07-23,2016-07-23,rivp gerance,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.siib.fr,siib.fr,marches,1,1,0,1,1,0,0,0,0,2017-08-02,2017-08-02,sii syndicat mixte des systemes d info,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.smic-vosges.f,smic-vosges.f,marches,1,1,0,1,1,0,0,0,0,2016-09-29,2016-09-29,cc terre de granite,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.telt-sas.com,telt-sas.com,marches,1,1,0,1,1,0,0,0,0,2019-04-26,2019-04-26,tunnel euralpin lyon turin sas,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.univ-lorraine.fr,univ-lorraine.fr,marches,1,1,0,1,1,0,0,0,0,2015-07-07,2015-07-07,universite de lorraine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches06.fr,marches06.fr,,1,1,0,1,1,0,0,0,0,2019-12-05,2019-12-05,metropole nice cote d azur,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches2.lyon.fr,lyon.fr,marches2,1,1,0,1,1,0,0,0,0,2020-12-17,2020-12-17,ville de lyon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesboulognebillancourt.local-trust.com,local-trust.com,marchesboulognebillancourt,1,1,0,1,1,0,0,0,0,2018-05-25,2018-05-25,ville de boulogne billancourt,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesformalises.cg974.fr,cg974.fr,marchesformalises,1,1,0,1,1,0,0,0,0,2016-03-16,2016-03-16,departement de la reunion,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesformation.cr-languedocroussillon.fr,cr-languedocroussillon.fr,marchesformation,1,1,0,1,1,0,0,0,0,2015-05-20,2015-05-20,conseil regional languedoc roussillon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesformation.laregion.fr,laregion.fr,marchesformation,1,1,0,1,1,0,0,0,0,2019-04-03,2019-04-03,conseil regional occitanie,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesgrandbesancon.fr,marchesgrandbesancon.fr,,1,1,0,1,1,0,0,0,0,2016-10-26,2016-10-26,ville de besancon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesgrandlyon.com,marchesgrandlyon.com,,1,1,0,1,1,0,0,0,0,2017-03-16,2017-03-16,metropole de lyon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesinfo.fr,marchesinfo.fr,,1,1,0,1,1,0,0,0,0,2017-02-10,2017-02-10,sydevom de haute provence,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesmaximilien.fr,marchesmaximilien.fr,,1,1,0,1,1,0,0,0,0,2019-11-28,2019-11-28,ville de paris,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesmaximillien.fr,marchesmaximillien.fr,,1,1,0,1,1,0,0,0,0,2015-10-28,2015-10-28,ville de paris - deve,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesmontpellier.3m.fr,3m.fr,marchesmontpellier,1,1,0,1,1,0,0,0,0,2018-09-28,2018-09-28,ville de montpellier,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchesoublics.grandangouleme.fr,grandangouleme.fr,marchesoublics,1,1,0,1,1,0,0,0,0,2018-05-02,2018-05-02,commune d angouleme,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespiblics-aquitaine.org,marchespiblics-aquitaine.org,,1,1,0,1,1,0,0,0,0,2017-11-21,2017-11-21,syndicat mixte parc naturel regional,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespubics.amiens-metropole.com,amiens-metropole.com,marchespubics,1,1,0,1,1,0,0,0,0,2018-09-12,2018-09-12,amiens metropole,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespubics.grand-nancy.org,grand-nancy.org,marchespubics,1,1,0,1,1,0,0,0,0,2019-07-12,2019-07-12,commune de laxou,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespubics596280.fr,marchespubics596280.fr,,1,1,0,1,1,0,0,0,0,2019-07-31,2019-07-31,conseil departemental de la somme,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublcis.ledauphine-legales.com,ledauphine-legales.com,marchespublcis,1,1,0,1,1,0,0,0,0,2018-12-19,2018-12-19,commune de saint sorlin d arves,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublic-aquitaine.org,marchespublic-aquitaine.org,,1,1,0,1,1,0,0,0,0,2016-02-15,2016-02-15,chambre d agriculture de lot et garonn,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublic.aquitaine.fr,aquitaine.fr,marchespublic,1,1,0,1,1,0,0,0,0,2016-03-09,2016-03-09,bordeaux metropole,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublic.isere.fr,isere.fr,marchespublic,1,1,0,1,1,0,0,0,0,2018-06-25,2018-06-25,conseil general de l isere,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublic.landespublic.org,landespublic.org,marchespublic,1,1,0,1,1,0,0,0,0,2016-12-07,2016-12-07,sitcom cote sud des landes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-ain.fr,marchespublics-ain.fr,,1,1,0,1,1,0,0,0,0,2019-10-04,2019-10-04,synd mixte traitement dechets menagers,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-ampmetropole.fr,marchespublics-ampmetropole.fr,,1,1,0,1,1,0,0,0,0,2017-12-02,2017-12-02,metropole d aix marseille provence,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-aude.fr,marchespublics-aude.fr,,1,1,0,1,1,0,0,0,0,2017-09-12,2017-09-12,commune de portel des corbieres,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-bernay.omnikles.com,omnikles.com,marchespublics-bernay,1,1,0,1,1,0,0,0,0,2016-10-11,2016-10-11,mairie de bernay,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-cc-golfedesainttropez.omnikles.com,omnikles.com,marchespublics-cc-golfedesainttropez,1,1,0,1,1,0,0,0,0,2019-06-16,2019-06-16,communaute communes golfe de st-tropez,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marchespublics-cc-limouxin.omnikles.com,omnikles.com,marchespublics-cc-limouxin,1,1,0,1,1,0,0,0,0,2016-01-19,2016-01-19,communaute de communes du limouxin,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
