source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-32051,15-56571,2015-03-04,2015-04-14,NAME:caisse des depots,NAME_FALLBACK,1.3469119579500657,2015-09-04,4.697766097240473,0.21703898379325448,0.8779291113647559,0.1,0.6,0.4515349349259781,True,False,1,2,0.005952103717091872,window_6m,0.3230216936565234
15-32168,19-147943,2015-03-03,2019-10-02,SIRET:23440003400026,RAW_SIRET,54.993429697766096,2019-09-03,0.9526938239159001,0.8412176960140166,0.25031590231747225,1.0,1.0,0.6979149898146194,False,False,1,8,0.2957459765069643,window_6m,0.3230216936565234
15-33752,19-174098,2015-03-06,2019-11-21,NAME:conseil regional des pays de la loire,NAME_FALLBACK,56.53745072273324,2019-10-08,1.445466491458607,0.7590889180902322,0.044951434027103075,0.2,0.6,0.32550523143204413,False,True,1,7,0.03804227888304007,window_6m,0.3230216936565234
15-39187,15-56571,2015-03-16,2015-04-14,NAME:caisse des depots,NAME_FALLBACK,0.9526938239159001,2015-09-16,5.091984231274639,0.1513359614542269,0.8554006006749058,0.1,0.6,0.4272242005997737,True,False,1,1,0.4272242005997737,window_6m,0.3230216936565234
15-42765,15-167650,2015-03-20,2015-11-03,NAME:cg49,NAME_FALLBACK,7.490144546649145,2015-09-20,1.445466491458607,0.7590889180902322,0.3505830839685025,0.1,0.6,0.4024763089115339,True,False,1,5,0.12693423354789574,window_6m,0.3230216936565234
15-44894,15-126736,2015-03-24,2015-08-13,NAME:prefecture,NAME_FALLBACK,4.664914586070959,2015-09-24,1.3797634691195795,0.7700394218134035,0.41913451794144224,0.1,0.6,0.42920693673285565,True,False,1,1,0.42920693673285565,window_6m,0.3230216936565234
15-45169,19-75795,2015-03-27,2019-05-15,NAME:vendee eau,NAME_FALLBACK,49.60578186596583,2019-07-02,1.5768725361366622,0.7371879106438897,0.2171700865939043,0.8,0.6,0.560306507968839,False,False,1,1,0.560306507968839,window_6m,0.3230216936565234
15-48624,16-49315,2015-03-31,2016-04-05,NAME:rectorat de l academie de nantes,NAME_FALLBACK,12.187910643889618,2016-03-31,0.164257555847569,0.9726237406920718,0.08263706030462069,0.1,0.6,0.3620789062796352,True,False,1,1,0.3620789062796352,window_6m,0.3230216936565234
15-49442,15-91934,2015-04-09,2015-09-28,NAME:ville de saumur,NAME_FALLBACK,5.650459921156373,2015-10-09,0.36136662286465177,0.939772229522558,0.15017394490566807,0.1,0.6,0.37750393809762334,True,False,1,2,0.21761697287639947,window_6m,0.3230216936565234
15-55407,19-189603,2015-04-20,2019-12-22,NAME:nantes metropole,NAME_FALLBACK,56.07752956636005,2019-12-14,0.2628120893561104,0.9561979851073149,0.23339193247441842,0.0,0.6,0.3807366726428752,False,False,1,22,0.043182005537150514,window_6m,0.3230216936565234
15-55830,19-43671,2015-04-13,2019-03-20,NAME:universite de nantes,NAME_FALLBACK,47.20762155059133,2019-04-13,0.7884362680683311,0.8685939553219448,0.15709588330295726,0.0,0.6,0.33213204798652124,False,True,1,4,0.0019261131754038652,window_6m,0.3230216936565234
15-56649,19-147943,2015-04-14,2019-10-02,SIRET:23440003400026,RAW_SIRET,53.613666228646515,2019-09-30,0.0657030223390276,0.9890494962768287,0.007718150127643182,0.2,1.0,0.40996372661388225,False,False,1,9,0.048374047129154385,window_6m,0.3230216936565234
