source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,score_forward_no_duration,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
17-37238,18-39750,2017-03-19,2018-03-28,NAME:mayenne tres haut debit,NAME_FALLBACK,12.28646517739816,,,,0.4212522786952891,1.0,0.6,0.6765843967244682,False,False,0.6765843967244682,1,1,0.6765843967244682,forward_24m_no_duration,0.24520429054294895
17-37863,17-39483,2017-03-17,2017-03-21,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,0.1314060446780552,,,,0.8437151808864505,0.1,0.6,0.5137337510803437,True,False,0.5137337510803437,1,11,0.14697945745893926,forward_24m_no_duration,0.24520429054294895
17-37945,17-39483,2017-03-17,2017-03-21,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,0.1314060446780552,,,,0.7743179897394297,0.1,0.6,0.48134839521173395,True,False,0.48134839521173395,1,11,0.13119623537563946,forward_24m_no_duration,0.24520429054294895
17-39457,17-136551,2017-03-23,2017-09-30,NAME:dir interdepartementale routes ouest,NAME_FALLBACK,6.274638633377135,,,,0.838612979990113,1.0,0.6,0.8713527239953862,False,False,0.8713527239953862,1,3,0.13633823351063623,forward_24m_no_duration,0.24520429054294895
17-39483,19-34598,2017-03-21,2019-03-05,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,23.45597897503285,,,,0.4656783272937958,0.1,0.6,0.33731655273710476,True,False,0.33731655273710476,1,10,0.19435408665038295,forward_24m_no_duration,0.24520429054294895
17-39998,17-96902,2017-03-27,2017-07-13,NAME:commune de saint-nazaire,NAME_FALLBACK,3.54796320630749,,,,0.29461561026253585,0.4,0.6,0.3774872847891835,False,False,0.3774872847891835,1,15,0.018761348641854136,forward_24m_no_duration,0.24520429054294895
17-4453,18-108773,2017-04-13,2018-07-30,NAME:sm megalis,NAME_FALLBACK,15.538764783180026,,,,0.2832242281938994,0.1,0.6,0.25217130649048647,True,False,0.25217130649048647,1,3,0.03444243442266631,forward_24m_no_duration,0.24520429054294895
17-44607,17-102923,2017-04-01,2017-07-20,NAME:conseil regional des pays de la loire,NAME_FALLBACK,3.6136662286465175,,,,0.2090681187436217,0.2,0.6,0.2575651220803568,False,True,0.2575651220803568,1,25,0.0,forward_24m_no_duration,0.24520429054294895
17-45104,18-182041,2017-04-03,2018-12-31,NAME:commune de saint-herblain,NAME_FALLBACK,20.92641261498029,,,,0.21825987244001854,0.2,0.6,0.26185460713867537,False,False,0.26185460713867537,1,3,0.054819304175132755,forward_24m_no_duration,0.24520429054294895
17-48519,17-102568,2017-04-09,2017-07-21,NAME:carene,NAME_FALLBACK,3.383705650459921,,,,0.2846703437035125,0.2,0.6,0.2928461603949726,False,False,0.2928461603949726,1,4,0.10440006859113654,forward_24m_no_duration,0.24520429054294895
17-48667,18-117157,2017-04-06,2018-08-20,NAME:ch le mans,NAME_FALLBACK,16.45860709592641,,,,0.03103909319287248,0.4,0.6,0.25448491015667385,False,False,0.25448491015667385,1,12,0.006902166337563603,forward_24m_no_duration,0.24520429054294895
17-48788,17-71849,2017-04-06,2017-05-24,NAME:conseil regional des pays de la loire,NAME_FALLBACK,1.5768725361366622,,,,0.013210579194930542,0.4,0.6,0.2461649369576343,False,False,0.2461649369576343,1,24,0.0015684298810580144,forward_24m_no_duration,0.24520429054294895
17-51157,18-28651,2017-04-18,2018-03-03,NAME:nantes metropole,NAME_FALLBACK,10.4796320630749,,,,0.4515968901794045,0.0,0.6,0.29074521541705545,False,True,0.29074521541705545,1,30,0.0010031349401883327,forward_24m_no_duration,0.24520429054294895
17-53475,17-93952,2017-04-18,2017-07-05,NAME:gie sesam vitale,NAME_FALLBACK,2.562417871222076,,,,0.37313540964944725,0.4,0.6,0.4141298578364088,False,False,0.4141298578364088,1,10,0.09412985783640881,forward_24m_no_duration,0.24520429054294895
17-53540,17-77744,2017-05-05,2017-06-02,NAME:nantes metropole,NAME_FALLBACK,0.9198423127463863,,,,1.0,0.1,0.6,0.5866666666666667,True,False,0.5866666666666667,1,30,0.4423374339285513,forward_24m_no_duration,0.24520429054294895
17-54834,17-94724,2017-04-22,2017-07-09,NAME:commune de saint-nazaire,NAME_FALLBACK,2.562417871222076,,,,0.47190306210852206,0.0,0.6,0.30022142898397697,False,False,0.30022142898397697,1,14,0.029410270108017167,forward_24m_no_duration,0.24520429054294895
17-55087,18-28651,2017-04-21,2018-03-03,NAME:nantes metropole,NAME_FALLBACK,10.38107752956636,,,,0.39992669489497734,0.1,0.6,0.3066324576176561,True,True,0.3066324576176561,1,30,0.024285692990217433,forward_24m_no_duration,0.24520429054294895
17-56452,18-51459,2017-04-23,2018-04-15,SIRET:23440003400026,RAW_SIRET,11.727989487516425,,,,0.2711744387687319,0.0,1.0,0.25988140475874155,False,False,0.25988140475874155,1,12,0.04433517537909021,forward_24m_no_duration,0.24520429054294895
17-56720,18-8615,2017-04-26,2018-01-20,NAME:gcs esante pays de la loire,NAME_FALLBACK,8.83705650459921,,,,0.08020825176869809,0.4,0.6,0.27743051749205916,False,False,0.27743051749205916,1,2,0.18479848130361254,forward_24m_no_duration,0.24520429054294895
17-58113,17-68883,2017-04-28,2017-05-19,NAME:arafer,NAME_FALLBACK,0.6898817345597897,,,,0.9999999999999999,1.0,0.6,0.9466666666666668,False,False,0.9466666666666668,1,2,0.8646665381628574,forward_24m_no_duration,0.24520429054294895
17-58214,17-129614,2017-04-30,2017-12-21,NAME:nantes metropole,NAME_FALLBACK,7.720105124835742,,,,0.2535885063498252,1.0,0.6,0.5983413029632518,False,False,0.5983413029632518,1,30,0.0163144418317982,forward_24m_no_duration,0.24520429054294895
17-58486,17-159373,2017-04-28,2017-11-12,NAME:chu de nantes,NAME_FALLBACK,6.504599211563732,,,,0.06613992991792865,0.4,0.6,0.2708653006283668,False,False,0.2708653006283668,1,13,0.018898839757323094,forward_24m_no_duration,0.24520429054294895
17-59442,17-115928,2017-05-19,2017-08-25,NAME:ademe,NAME_FALLBACK,3.219448094612352,,,,1.0,1.0,0.6,0.9466666666666668,False,False,0.9466666666666668,1,5,0.638491440906457,forward_24m_no_duration,0.24520429054294895
17-6085,17-105683,2017-01-15,2017-07-23,SIRET:24720013200014,RAW_SIRET,6.2089356110381075,,,,0.8675204715104442,0.0,1.0,0.5381762200382074,False,False,0.5381762200382074,1,3,0.3848452068281472,forward_24m_no_duration,0.24520429054294895
17-61541,18-120601,2017-05-05,2018-08-28,NAME:chu de nantes,NAME_FALLBACK,15.768725361366622,,,,0.015155733739522826,1.0,0.6,0.4870726757451107,False,False,0.4870726757451107,1,12,0.0,forward_24m_no_duration,0.24520429054294895
17-62129,17-71849,2017-05-04,2017-05-24,NAME:conseil regional des pays de la loire,NAME_FALLBACK,0.657030223390276,,,,0.11389384235187601,0.4,0.6,0.29315045976420884,False,False,0.29315045976420884,1,24,0.04092565765582423,forward_24m_no_duration,0.24520429054294895
17-62873,17-124586,2017-05-07,2017-09-07,SIRET:19490970100303,RAW_SIRET,4.040735873850197,,,,1.0,1.0,1.0,1.0,False,False,1.0,1,6,0.7590660719660708,forward_24m_no_duration,0.24520429054294895
17-65753,18-18447,2017-05-11,2018-02-09,NAME:nantes metropole,NAME_FALLBACK,9.00131406044678,,,,0.6146034582570038,0.1,0.6,0.4068149471866019,True,False,0.4068149471866019,1,30,0.006191979864199282,forward_24m_no_duration,0.24520429054294895
17-66007,17-80512,2017-05-12,2017-06-09,NAME:ch le mans,NAME_FALLBACK,0.9198423127463863,,,,0.04354704515814182,1.0,0.6,0.5003219544071329,False,False,0.5003219544071329,1,11,0.15483531657452337,forward_24m_no_duration,0.24520429054294895
