source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source_x,candidate_buyer_identity_source_x,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1_x,candidate_buyer_siren_m1_x,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,profile_evidence_status,profile_evidence_reason,source_profile_domains,candidate_profile_domains,shared_profile_domains,source_domain_specificity,candidate_domain_specificity,profile_conflict_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-118979,19-130357,2015-07-30,2019-08-27,NAME:departement de la sarthe,NAME:departement de la sarthe,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,227200029,227200029,False,48.91590013140605,2019-07-30,0.9198423127463864,0.8466929478756022,0.6503475598029484,0.1,0.75,0.5442948828999326,0.3230216936565233,True,False,WEAK_SUPPORT,source and candidate names share a domain with limited specificity,sarthe-marchespublics.fr,sarthe-marchespublics.fr,sarthe-marchespublics.fr,AMBIGUOUS,AMBIGUOUS,False,1,13,0.0018219278510777093,profile_audited_balanced,0.3230216936565233
15-119589,18-153394,2015-08-03,2018-10-31,NAME:ville de vertou,NAME:commune de vertou,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,214402158,214402158,False,38.92904073587385,2018-08-03,2.923784494086728,0.5127025843188786,0.2885597372821302,0.4,0.75,0.4241715541284652,0.3230216936565233,False,False,WEAK_SUPPORT,source and candidate names share registered domain but not exact subdomain,vertou.e-marchespublics.com,e-marchespublics.com,,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,1,0.4241715541284652,profile_audited_balanced,0.3230216936565233
15-126308,16-10649,2015-08-13,2016-01-25,NAME:sdis 44,NAME:sdis 44,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,284400017,284400017,False,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4495185967466125,0.0,0.75,0.4563240625187826,0.3230216936565233,False,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,achatpublic.com,achatpublic.com,achatpublic.com,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,1,0.4563240625187826,profile_audited_balanced,0.3230216936565233
15-136102,18-158087,2015-09-07,2018-11-15,NAME:sm megalis,NAME:sm megalis,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.7585660963415759,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,synapse-ouest.com;synaspe-ouest.com,synapse-ouest.com;synaspe-ouest.com,synapse-ouest.com;synaspe-ouest.com,BUYER_SPECIFIC;GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,False,1,3,0.4088007057648527,profile_audited_balanced,0.3230216936565233
15-136371,20-52846,2015-09-07,2020-04-17,NAME:sdis de la mayenne,NAME:sdis de la mayenne,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,285300018,285300018,False,55.32194480946124,2020-02-22,1.8068331143232588,0.6988611476127902,0.0497458117106305,0.2,0.75,0.3271263210019182,0.3230216936565233,False,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,sdis53.e-marchespublics.com,sdis53.e-marchespublics.com,sdis53.e-marchespublics.com,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,1,0.3271263210019182,profile_audited_balanced,0.3230216936565233
15-137458,18-158087,2015-09-09,2018-11-15,NAME:sm megalis,NAME:sm megalis,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,38.20630749014455,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6461429812407118,0.3230216936565233,False,False,STRONG_SUPPORT,source and candidate names share a buyer-specific or highly concentrated domain,synapse-ouest.com;synaspe-ouest.com,synapse-ouest.com;synaspe-ouest.com,synapse-ouest.com;synaspe-ouest.com,BUYER_SPECIFIC;GENERIC_PLATFORM,BUYER_SPECIFIC;GENERIC_PLATFORM,False,1,3,0.3059260407060882,profile_audited_balanced,0.3230216936565233
15-139094,19-141668,2015-09-10,2019-09-19,NAME:sdis 85,NAME:sdis 85,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,288500010,288500010,False,48.29172141918528,2019-12-07,2.59526938239159,0.567455102934735,0.1336336684917838,0.6,0.75,0.4436355597058081,0.3230216936565233,False,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,sdis85.e-marchespublics.com,sdis85.e-marchespublics.com,sdis85.e-marchespublics.com,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,3,0.07797749239710117,profile_audited_balanced,0.3230216936565233
15-139179,16-68672,2015-09-10,2016-05-12,NAME:ecole centrale de nantes,NAME:ecole centrale de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,194401006,194401006,False,8.04862023653088,2016-03-10,2.0696452036793693,0.6550591327201052,0.2979312114757571,0.1,0.75,0.3730407071965413,0.3230216936565233,True,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,marches-public.gouv.fr;marches-publics.gouv.fr,marches-public.gouv.fr;marches-publics.gouv.fr,marches-public.gouv.fr;marches-publics.gouv.fr,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,4,0.040712619568505526,profile_audited_balanced,0.3230216936565233
15-139462,19-159320,2015-09-11,2019-10-18,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,49.21156373193167,2019-12-29,2.365308804204993,0.6057818659658345,0.2517908053778404,0.1,0.75,0.3445722483737027,0.3230216936565233,True,False,WEAK_SUPPORT,source and candidate names share a domain with limited specificity,sarthe-marchespublics.fr,sarthe-marchespublics.fr,sarthe-marchespublics.fr,AMBIGUOUS,AMBIGUOUS,False,1,9,0.032021887059531184,profile_audited_balanced,0.3230216936565233
15-140966,16-101519,2015-09-15,2016-07-07,NAME:commune de saint jean de monts,NAME:commune de saint jean de monts,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.4101046834439405,0.1,0.6,0.4233088687279372,0.3230216936565233,True,False,NEUTRAL_SHARED_PLATFORM,source and candidate names share only broad shared-platform evidence,marches-securises.fr,marches-securises.fr,marches-securises.fr,GENERIC_PLATFORM,GENERIC_PLATFORM,False,1,1,0.4233088687279372,profile_audited_balanced,0.3230216936565233
